"DateTime","Sales (USD)"
"2020-01-08 00:00:00",61714.3
"2020-01-10 00:00:00",18449.06
"2020-01-17 00:00:00",26367.43
"2020-01-23 00:00:00",60816.3
"2020-01-24 00:00:00",27918.45
"2020-01-31 00:00:00",31347.03
"2020-02-07 00:00:00",19673.56
"2020-02-13 00:00:00",79918.4
"2020-02-14 00:00:00",15020.49
"2020-02-21 00:00:00",23673.56
"2020-02-28 00:00:00",28489.92
"2020-03-06 00:00:00",27510.25
"2020-03-13 00:00:00",28489.88
"2020-03-30 00:00:00",899
"2020-04-02 00:00:00",300
"2020-04-03 00:00:00",1071
"2020-04-04 00:00:00",1040
"2020-04-05 00:00:00",1653
"2020-04-06 00:00:00",1050
"2020-04-07 00:00:00",897
"2020-04-08 00:00:00",1221
"2020-04-09 00:00:00",3421
"2020-04-10 00:00:00",3871
"2020-04-11 00:00:00",3543
"2020-04-12 00:00:00",560
"2020-04-13 00:00:00",570
"2020-04-14 00:00:00",7027.84
"2020-04-15 00:00:00",2375
"2020-04-16 00:00:00",3192
"2020-04-17 00:00:00",3366
"2020-04-18 00:00:00",2067
"2020-04-19 00:00:00",2250
"2020-04-20 00:00:00",4330
"2020-04-21 00:00:00",4565.98
"2020-04-22 00:00:00",1515
"2020-04-23 00:00:00",2650
"2020-04-24 00:00:00",2326
"2020-04-25 00:00:00",2410
"2020-04-26 00:00:00",245
"2020-04-27 00:00:00",806
"2020-04-28 00:00:00",2316.33
"2020-04-29 00:00:00",1119
"2020-04-30 00:00:00",1480
"2020-05-01 00:00:00",2592
"2020-05-02 00:00:00",2194
"2020-05-03 00:00:00",994
"2020-05-04 00:00:00",1608
"2020-05-05 00:00:00",2379.08
"2020-05-06 00:00:00",760
"2020-05-08 00:00:00",494
"2020-05-09 00:00:00",608
"2020-05-10 00:00:00",649
"2020-05-11 00:00:00",1151
"2020-05-12 00:00:00",9267.03
"2020-05-13 00:00:00",1367
"2020-05-14 00:00:00",1519
"2020-05-15 00:00:00",1618
"2020-05-16 00:00:00",521
"2020-05-17 00:00:00",1166
"2020-05-18 00:00:00",2042
"2020-05-19 00:00:00",2879.33
"2020-05-20 00:00:00",1007
"2020-05-21 00:00:00",2761
"2020-05-22 00:00:00",959
"2020-05-23 00:00:00",831
"2020-05-24 00:00:00",948
"2020-05-25 00:00:00",585
"2020-05-26 00:00:00",634.31
"2020-05-27 00:00:00",846
"2020-05-28 00:00:00",948
"2020-05-29 00:00:00",1415
"2020-05-30 00:00:00",679
"2020-05-31 00:00:00",65
"2020-06-01 00:00:00",714
"2020-06-02 00:00:00",1178.31
"2020-06-03 00:00:00",481
"2020-06-04 00:00:00",726
"2020-06-05 00:00:00",455
"2020-06-06 00:00:00",887
"2020-06-07 00:00:00",1266
"2020-06-08 00:00:00",887
"2020-06-09 00:00:00",1349.57
"2020-06-10 00:00:00",203
"2020-06-11 00:00:00",329
"2020-06-12 00:00:00",1607
"2020-06-13 00:00:00",522
"2020-06-14 00:00:00",632
"2020-06-15 00:00:00",271
"2020-06-16 00:00:00",2402.07
"2020-06-17 00:00:00",65
"2020-06-19 00:00:00",568
"2020-06-20 00:00:00",4888
"2020-06-21 00:00:00",1576
"2020-06-22 00:00:00",730
"2020-06-23 00:00:00",1014.07
"2020-06-24 00:00:00",420
"2020-06-25 00:00:00",825
"2020-06-26 00:00:00",165
"2020-06-27 00:00:00",1030
"2020-06-28 00:00:00",536
"2020-06-29 00:00:00",232
"2020-06-30 00:00:00",1237.07
"2020-07-01 00:00:00",1498
"2020-07-02 00:00:00",2007
"2020-07-03 00:00:00",1717
"2020-07-04 00:00:00",1949
"2020-07-05 00:00:00",2279
"2020-07-06 00:00:00",2102
"2020-07-07 00:00:00",1139
"2020-07-08 00:00:00",885
"2020-07-09 00:00:00",42601.8
"2020-07-10 00:00:00",18997.7
"2020-07-11 00:00:00",3051
"2020-07-12 00:00:00",66
"2020-07-13 00:00:00",758
"2020-07-14 00:00:00",859
"2020-07-15 00:00:00",2905
"2020-07-16 00:00:00",393
"2020-07-17 00:00:00",39922.3
"2020-07-18 00:00:00",499
"2020-07-19 00:00:00",881
"2020-07-20 00:00:00",867
"2020-07-21 00:00:00",507
"2020-07-22 00:00:00",883
"2020-07-23 00:00:00",868
"2020-07-24 00:00:00",32682.69
"2020-07-25 00:00:00",202
"2020-07-26 00:00:00",866
"2020-07-27 00:00:00",396
"2020-07-28 00:00:00",825
"2020-07-29 00:00:00",785
"2020-07-30 00:00:00",25209.5
"2020-07-31 00:00:00",14715.19
"2020-08-01 00:00:00",3923
"2020-08-02 00:00:00",3055
"2020-08-03 00:00:00",2476
"2020-08-04 00:00:00",2837
"2020-08-05 00:00:00",4482
"2020-08-06 00:00:00",3061
"2020-08-07 00:00:00",53193.4
