"DateTime","Sales (USD)"
"2021-03-27 00:00:00",44671.1
"2021-03-31 00:00:00",585.94
"2021-04-01 00:00:00",394.25
"2021-04-06 00:00:00",740.92
"2021-04-07 00:00:00",99.27
"2021-04-08 00:00:00",8005.62
"2021-04-09 00:00:00",516.51
"2021-04-10 00:00:00",1065.09
"2021-04-11 00:00:00",1908.49
"2021-04-12 00:00:00",3321.38
"2021-04-13 00:00:00",1608.52
"2021-04-14 00:00:00",377.94
"2021-04-15 00:00:00",388.54
"2021-04-18 00:00:00",471.13
"2021-04-19 00:00:00",216.86
"2021-04-22 00:00:00",24833.43
"2021-04-23 00:00:00",5413.91
"2021-04-24 00:00:00",201.29
"2021-04-25 00:00:00",19567.96
"2021-04-26 00:00:00",793.9
"2021-04-29 00:00:00",818.09
"2021-04-30 00:00:00",2749.84
"2021-05-01 00:00:00",31867.13
"2021-05-02 00:00:00",19176.26
"2021-05-03 00:00:00",818.72
"2021-05-04 00:00:00",19828.25
"2021-05-05 00:00:00",17418.07
"2021-05-08 00:00:00",15609.97
"2021-05-09 00:00:00",21604.62
"2021-05-15 00:00:00",3856.23
"2021-05-16 00:00:00",12658.74
"2021-05-17 00:00:00",0
"2021-05-20 00:00:00",1916.77
"2021-05-21 00:00:00",120.7
"2021-05-25 00:00:00",2438.41
"2021-05-26 00:00:00",157.78
"2021-06-01 00:00:00",1514.15
"2021-06-02 00:00:00",857.58
"2021-06-04 00:00:00",161.36
"2021-06-06 00:00:00",865.95
"2021-06-08 00:00:00",1400.59
"2021-06-10 00:00:00",1172.52
"2021-06-11 00:00:00",4385.21
"2021-06-13 00:00:00",3817.1
"2021-06-14 00:00:00",57362.44
"2021-06-15 00:00:00",25.53
"2021-06-16 00:00:00",417.42
"2021-06-17 00:00:00",40.26
"2021-06-18 00:00:00",9440.65
"2021-06-19 00:00:00",14687.81
"2021-06-20 00:00:00",17574.09
"2021-06-21 00:00:00",16799.47
"2021-06-23 00:00:00",21.39
"2021-06-28 00:00:00",33.27
"2021-06-29 00:00:00",817
"2021-06-30 00:00:00",45.45
"2021-07-01 00:00:00",20.93
"2021-07-02 00:00:00",2721.84
"2021-07-03 00:00:00",7598.11
"2021-07-04 00:00:00",3466.12
"2021-07-05 00:00:00",2440.5
"2021-07-07 00:00:00",597.34
"2021-07-08 00:00:00",241.27
"2021-07-09 00:00:00",1292.27
"2021-07-10 00:00:00",56.32
"2021-07-11 00:00:00",1046.75
"2021-07-12 00:00:00",802.83
"2021-07-13 00:00:00",4735.32
"2021-07-14 00:00:00",21809.91
"2021-07-15 00:00:00",3870.66
"2021-07-16 00:00:00",47146.53
"2021-07-17 00:00:00",7171.49
"2021-07-18 00:00:00",5065.15
"2021-07-19 00:00:00",2765.85
"2021-07-20 00:00:00",2863.21
"2021-07-21 00:00:00",2387.12
"2021-07-22 00:00:00",3759.45
"2021-07-23 00:00:00",7195.84
"2021-07-24 00:00:00",34434.74
"2021-07-25 00:00:00",79782.46
"2021-07-26 00:00:00",53115.48
"2021-07-27 00:00:00",257220.84
"2021-07-28 00:00:00",74667.71
"2021-07-29 00:00:00",79959.44
"2021-07-30 00:00:00",247981.44
"2021-07-31 00:00:00",954276.69
"2021-08-01 00:00:00",2906484.6
"2021-08-02 00:00:00",5388639.47
"2021-08-03 00:00:00",3577762.93
"2021-08-04 00:00:00",1598194
"2021-08-05 00:00:00",704229.88
"2021-08-06 00:00:00",1027980.06
"2021-08-07 00:00:00",1521917.39
"2021-08-08 00:00:00",1424898.34
"2021-08-09 00:00:00",1119910.58
"2021-08-10 00:00:00",1143964.09
"2021-08-11 00:00:00",837223.34
"2021-08-12 00:00:00",2398891.99
"2021-08-13 00:00:00",2671482.13
"2021-08-14 00:00:00",5698195.16
"2021-08-15 00:00:00",4266591.63
"2021-08-16 00:00:00",3384433.08
"2021-08-17 00:00:00",7917970.7
"2021-08-18 00:00:00",9727200.2
"2021-08-19 00:00:00",5236873.8
"2021-08-20 00:00:00",7105755.33
"2021-08-21 00:00:00",7494750.44
"2021-08-22 00:00:00",2920523.81
"2021-08-23 00:00:00",4423086.45
"2021-08-24 00:00:00",4184530.07
"2021-08-25 00:00:00",3120250.15
"2021-08-26 00:00:00",4633593.75
"2021-08-27 00:00:00",1576689.12
"2021-08-28 00:00:00",2218142.64
"2021-08-29 00:00:00",1065831.76
"2021-08-30 00:00:00",1628148.55
"2021-08-31 00:00:00",2052308.05
"2021-09-01 00:00:00",1957778.25
