"DateTime","Sales (USD)"
"2021-10-15 00:00:00",563203.34
"2021-10-16 00:00:00",2332728.38
"2021-10-17 00:00:00",1668039
"2021-10-18 00:00:00",810993.29
"2021-10-19 00:00:00",940128.85
"2021-10-20 00:00:00",2703661.38
"2021-10-21 00:00:00",1746066.25
"2021-10-22 00:00:00",2466378.63
"2021-10-23 00:00:00",1105023.62
"2021-10-24 00:00:00",656351.18
"2021-10-25 00:00:00",1137771.89
"2021-10-26 00:00:00",883505.07
"2021-10-27 00:00:00",548482.13
"2021-10-28 00:00:00",673164.01
"2021-10-29 00:00:00",511725.74
"2021-10-30 00:00:00",397249.75
"2021-10-31 00:00:00",339893.51
"2021-11-01 00:00:00",268789.22
"2021-11-02 00:00:00",242511.87
"2021-11-03 00:00:00",218239.03
"2021-11-04 00:00:00",244522.39
"2021-11-05 00:00:00",118506.97
"2021-11-06 00:00:00",250057.73
"2021-11-07 00:00:00",379973.71
"2021-11-08 00:00:00",1008332.89
"2021-11-09 00:00:00",404370.64
"2021-11-10 00:00:00",251811.07
"2021-11-11 00:00:00",196333.26
"2021-11-12 00:00:00",227794.66
"2021-11-13 00:00:00",165311.93
"2021-11-14 00:00:00",271483.37
"2021-11-15 00:00:00",219515.34
"2021-11-16 00:00:00",272381.71
"2021-11-17 00:00:00",195818.51
"2021-11-18 00:00:00",144828.96
"2021-11-19 00:00:00",171766.77
"2021-11-20 00:00:00",132828.76
"2021-11-21 00:00:00",108934.39
"2021-11-22 00:00:00",102263.28
"2021-11-23 00:00:00",181532.57
"2021-11-24 00:00:00",182409.6
"2021-11-25 00:00:00",210566.88
"2021-11-26 00:00:00",117776.01
"2021-11-27 00:00:00",71011.75
"2021-11-28 00:00:00",77680.41
"2021-11-29 00:00:00",100594.13
"2021-11-30 00:00:00",140027.01
"2021-12-01 00:00:00",138408.9
"2021-12-02 00:00:00",85551.17
"2021-12-03 00:00:00",100520.8
"2021-12-04 00:00:00",61418.24
"2021-12-05 00:00:00",73988.92
"2021-12-06 00:00:00",73010.29
"2021-12-07 00:00:00",71326.89
"2021-12-08 00:00:00",81289.64
"2021-12-09 00:00:00",96411.5
"2021-12-10 00:00:00",56923.21
"2021-12-11 00:00:00",43693.98
"2021-12-12 00:00:00",72680.34
"2021-12-13 00:00:00",92352.61
"2021-12-14 00:00:00",127184.17
"2021-12-15 00:00:00",156346.64
"2021-12-16 00:00:00",533892.52
"2021-12-17 00:00:00",168637.58
"2021-12-18 00:00:00",216741.61
"2021-12-19 00:00:00",180168.97
"2021-12-20 00:00:00",60025.45
"2021-12-21 00:00:00",31270.44
"2021-12-22 00:00:00",40903
"2021-12-23 00:00:00",37374.89
"2021-12-24 00:00:00",15979.28
"2021-12-25 00:00:00",16004.89
"2021-12-26 00:00:00",24649.65
"2021-12-27 00:00:00",29902.88
"2021-12-28 00:00:00",18538.3
"2021-12-29 00:00:00",26914.08
"2021-12-30 00:00:00",20703.78
"2021-12-31 00:00:00",24275.21
"2022-01-01 00:00:00",11223.64
"2022-01-02 00:00:00",14551.89
"2022-01-03 00:00:00",20817.89
"2022-01-04 00:00:00",32339.2
"2022-01-05 00:00:00",25950.93
"2022-01-06 00:00:00",26443.81
"2022-01-07 00:00:00",15731.23
"2022-01-08 00:00:00",20441.37
"2022-01-09 00:00:00",19985.72
"2022-01-10 00:00:00",17284.7
"2022-01-11 00:00:00",8249.65
"2022-01-12 00:00:00",16163.57
"2022-01-13 00:00:00",8467.83
"2022-01-14 00:00:00",8575.97
"2022-01-15 00:00:00",11664.21
"2022-01-16 00:00:00",6370.31
"2022-01-17 00:00:00",15993.11
"2022-01-18 00:00:00",19336.53
"2022-01-19 00:00:00",13222.78
"2022-01-20 00:00:00",12519.92
"2022-01-21 00:00:00",6973.7
"2022-01-22 00:00:00",4714.62
"2022-01-23 00:00:00",2187.56
"2022-01-24 00:00:00",27367.67
"2022-01-25 00:00:00",8567.97
"2022-01-26 00:00:00",12210.72
"2022-01-27 00:00:00",6134.16
"2022-01-28 00:00:00",10921.94
"2022-01-29 00:00:00",12469.3
"2022-01-30 00:00:00",6370.43
"2022-01-31 00:00:00",3331.88
"2022-02-01 00:00:00",9906.32
"2022-02-02 00:00:00",13713.86
"2022-02-03 00:00:00",29714.46
"2022-02-04 00:00:00",35519.38
"2022-02-05 00:00:00",7220.37
"2022-02-06 00:00:00",4238.32
"2022-02-07 00:00:00",12014.38
"2022-02-08 00:00:00",2505.5
"2022-02-09 00:00:00",4957.2
"2022-02-10 00:00:00",15898.57
"2022-02-11 00:00:00",5146.78
"2022-02-12 00:00:00",14697.99
"2022-02-13 00:00:00",9047.8
"2022-02-14 00:00:00",10333.37
"2022-02-15 00:00:00",6358.68
"2022-02-16 00:00:00",3234.03
"2022-02-17 00:00:00",5226.29
"2022-02-18 00:00:00",3404.67
"2022-02-19 00:00:00",3217.95
"2022-02-20 00:00:00",3572.36
"2022-02-21 00:00:00",2406.59
"2022-02-22 00:00:00",839.77
"2022-02-23 00:00:00",2177.29
"2022-02-24 00:00:00",1863.04
"2022-02-25 00:00:00",2034.12
"2022-02-26 00:00:00",775.42
"2022-02-27 00:00:00",3477.92
"2022-02-28 00:00:00",600.79
"2022-03-01 00:00:00",2655.02
