"DateTime","Sales (USD)"
"2022-01-01 00:00:00",3203160.21
"2022-01-02 00:00:00",1375585.19
"2022-01-03 00:00:00",5150378.74
"2022-01-04 00:00:00",2476203.82
"2022-01-05 00:00:00",1281011.84
"2022-01-06 00:00:00",2659559.38
"2022-01-07 00:00:00",10372408.63
"2022-01-08 00:00:00",12977341.71
"2022-01-09 00:00:00",13474990.34
"2022-01-10 00:00:00",10118877.95
"2022-01-11 00:00:00",3778975.27
"2022-01-12 00:00:00",4061458.07
"2022-01-13 00:00:00",3031094.02
"2022-01-14 00:00:00",3659734.79
"2022-01-15 00:00:00",1243837.12
"2022-01-16 00:00:00",1454024.75
"2022-01-17 00:00:00",1167095.12
"2022-01-18 00:00:00",2659425.47
"2022-01-19 00:00:00",1517392.37
"2022-01-20 00:00:00",1477527.44
"2022-01-21 00:00:00",520584.88
"2022-01-22 00:00:00",446844.69
"2022-01-23 00:00:00",441475.57
"2022-01-24 00:00:00",447091.14
"2022-01-25 00:00:00",581892.58
"2022-01-26 00:00:00",697664
"2022-01-27 00:00:00",313815.1
"2022-01-28 00:00:00",265090.47
"2022-01-29 00:00:00",854135.77
"2022-01-30 00:00:00",413572.32
"2022-01-31 00:00:00",429779.85
"2022-02-01 00:00:00",470014.01
"2022-02-02 00:00:00",328337.46
"2022-02-03 00:00:00",433184.38
"2022-02-04 00:00:00",321766.18
"2022-02-05 00:00:00",395877.78
"2022-02-06 00:00:00",1103385.93
"2022-02-07 00:00:00",636037.55
"2022-02-08 00:00:00",176912.32
"2022-02-09 00:00:00",120666.92
"2022-02-10 00:00:00",138781.98
"2022-02-11 00:00:00",106775.29
"2022-02-12 00:00:00",103751.84
"2022-02-13 00:00:00",199255.3
"2022-02-14 00:00:00",124527.71
"2022-02-15 00:00:00",496840.72
"2022-02-16 00:00:00",318535.81
"2022-02-17 00:00:00",131398.86
"2022-02-18 00:00:00",181296.36
"2022-02-19 00:00:00",124801
"2022-02-20 00:00:00",42931.39
"2022-02-21 00:00:00",75515.21
"2022-02-22 00:00:00",80531.59
"2022-02-23 00:00:00",64114.82
"2022-02-24 00:00:00",51898.64
"2022-02-25 00:00:00",57851.16
"2022-02-26 00:00:00",46049.69
"2022-02-27 00:00:00",35176.27
"2022-02-28 00:00:00",130889.99
"2022-03-01 00:00:00",88842.4
"2022-03-02 00:00:00",45455.37
