"DateTime","Sales (USD)"
"2021-12-22 00:00:00",5501011.36
"2021-12-23 00:00:00",7617755.07
"2021-12-24 00:00:00",1884360.41
"2021-12-25 00:00:00",597523.15
"2021-12-26 00:00:00",1293806.53
"2021-12-27 00:00:00",1151034.27
"2021-12-28 00:00:00",944468.85
"2021-12-29 00:00:00",2290283.49
"2021-12-30 00:00:00",4457891.56
"2021-12-31 00:00:00",2559311.34
"2022-01-01 00:00:00",1251939.87
"2022-01-02 00:00:00",1433148.73
"2022-01-03 00:00:00",1361310.26
"2022-01-04 00:00:00",3001346.56
"2022-01-05 00:00:00",1394877.39
"2022-01-06 00:00:00",1261539.12
"2022-01-07 00:00:00",1842148.43
"2022-01-08 00:00:00",1152661.52
"2022-01-09 00:00:00",705356.33
"2022-01-10 00:00:00",558890.21
"2022-01-11 00:00:00",463212.04
"2022-01-12 00:00:00",412015.17
"2022-01-13 00:00:00",295710.75
"2022-01-14 00:00:00",333834.11
"2022-01-15 00:00:00",341519.83
"2022-01-16 00:00:00",405783.26
"2022-01-17 00:00:00",249859.31
"2022-01-18 00:00:00",343414.03
"2022-01-19 00:00:00",402652.83
"2022-01-20 00:00:00",257421.64
"2022-01-21 00:00:00",233049.3
"2022-01-22 00:00:00",213649.42
"2022-01-23 00:00:00",187219.9
"2022-01-24 00:00:00",141249.81
"2022-01-25 00:00:00",340898.11
"2022-01-26 00:00:00",207527.16
"2022-01-27 00:00:00",161610.99
"2022-01-28 00:00:00",220195.99
"2022-01-29 00:00:00",189769.91
"2022-01-30 00:00:00",201664.08
"2022-01-31 00:00:00",224347.3
"2022-02-01 00:00:00",229117.4
"2022-02-02 00:00:00",462600.12
"2022-02-03 00:00:00",276813.99
"2022-02-04 00:00:00",248515.35
"2022-02-05 00:00:00",88001.23
"2022-02-06 00:00:00",72897.78
"2022-02-07 00:00:00",206564.78
"2022-02-08 00:00:00",505917.17
"2022-02-09 00:00:00",772764.05
"2022-02-10 00:00:00",305581
"2022-02-11 00:00:00",1398839.94
"2022-02-12 00:00:00",749740.41
"2022-02-13 00:00:00",558603.66
"2022-02-14 00:00:00",5358850.75
"2022-02-15 00:00:00",1353059.26
"2022-02-16 00:00:00",1155544.49
"2022-02-17 00:00:00",868233.78
"2022-02-18 00:00:00",586599.71
"2022-02-19 00:00:00",270255.98
"2022-02-20 00:00:00",151073.26
"2022-02-21 00:00:00",293420.5
"2022-02-22 00:00:00",223221.75
"2022-02-23 00:00:00",358018.67
"2022-02-24 00:00:00",317984.45
"2022-02-25 00:00:00",305459.5
"2022-02-26 00:00:00",480623.59
"2022-02-27 00:00:00",244612.95
"2022-02-28 00:00:00",194834.84
"2022-03-01 00:00:00",139805.92
"2022-03-02 00:00:00",129025.38
