"DateTime","Sales (USD)"
"2021-07-23 00:00:00",33940.36
"2021-07-24 00:00:00",396538.09
"2021-07-25 00:00:00",291361.51
"2021-07-26 00:00:00",227482.81
"2021-07-27 00:00:00",207821.17
"2021-07-28 00:00:00",163777.86
"2021-07-29 00:00:00",315391.23
"2021-07-30 00:00:00",453551.62
"2021-07-31 00:00:00",221980.13
"2021-08-01 00:00:00",779033.42
"2021-08-02 00:00:00",568698.78
"2021-08-03 00:00:00",346645.22
"2021-08-04 00:00:00",336333.98
"2021-08-05 00:00:00",156200.78
"2021-08-06 00:00:00",99949.43
"2021-08-07 00:00:00",181032.31
"2021-08-08 00:00:00",92961.98
"2021-08-09 00:00:00",80067.27
"2021-08-10 00:00:00",125228.08
"2021-08-11 00:00:00",100156.33
"2021-08-12 00:00:00",77990.67
"2021-08-13 00:00:00",120952.46
"2021-08-14 00:00:00",81022.55
"2021-08-15 00:00:00",64612.9
"2021-08-16 00:00:00",77014.14
"2021-08-17 00:00:00",114062.65
"2021-08-18 00:00:00",54655.6
"2021-08-19 00:00:00",63604.83
"2021-08-20 00:00:00",69595.23
"2021-08-21 00:00:00",104118.6
"2021-08-22 00:00:00",127876.75
"2021-08-23 00:00:00",116593.89
"2021-08-24 00:00:00",92737.56
"2021-08-25 00:00:00",81133.85
"2021-08-26 00:00:00",47010.18
"2021-08-27 00:00:00",107670.54
"2021-08-28 00:00:00",192896.63
"2021-08-29 00:00:00",201060.47
"2021-08-30 00:00:00",114867.46
"2021-08-31 00:00:00",168518.41
"2021-09-01 00:00:00",151055.05
"2021-09-02 00:00:00",113430.33
"2021-09-03 00:00:00",96839.54
"2021-09-04 00:00:00",78062.57
"2021-09-05 00:00:00",32622.02
"2021-09-06 00:00:00",46923.7
"2021-09-07 00:00:00",54070.9
"2021-09-08 00:00:00",17565.83
"2021-09-09 00:00:00",50976.34
"2021-09-10 00:00:00",14337.73
"2021-09-11 00:00:00",49659.03
"2021-09-12 00:00:00",9784.39
"2021-09-13 00:00:00",17300.52
"2021-09-14 00:00:00",18448.1
"2021-09-15 00:00:00",7130.05
"2021-09-16 00:00:00",21723.7
"2021-09-17 00:00:00",9110.37
"2021-09-18 00:00:00",13443.77
"2021-09-19 00:00:00",17375.53
"2021-09-20 00:00:00",15574.35
"2021-09-21 00:00:00",16587.58
"2021-09-22 00:00:00",7068.82
"2021-09-23 00:00:00",5558.67
"2021-09-24 00:00:00",6615.01
"2021-09-25 00:00:00",2857.19
"2021-09-26 00:00:00",28903.32
"2021-09-27 00:00:00",6124.57
"2021-09-28 00:00:00",15454.83
"2021-09-29 00:00:00",42337.63
"2021-09-30 00:00:00",22222.37
"2021-10-01 00:00:00",19149.96
"2021-10-02 00:00:00",14514.38
"2021-10-03 00:00:00",9866.76
"2021-10-04 00:00:00",8781.59
"2021-10-05 00:00:00",12465.74
"2021-10-06 00:00:00",8666.79
"2021-10-07 00:00:00",9770.55
"2021-10-08 00:00:00",3993.11
"2021-10-09 00:00:00",4262.34
"2021-10-10 00:00:00",5831.91
"2021-10-11 00:00:00",4337.42
"2021-10-12 00:00:00",2570.11
"2021-10-13 00:00:00",1122.99
"2021-10-14 00:00:00",11012
"2021-10-15 00:00:00",7564.68
"2021-10-16 00:00:00",7306.81
"2021-10-17 00:00:00",14851.02
"2021-10-18 00:00:00",8913.67
"2021-10-19 00:00:00",1045.24
"2021-10-20 00:00:00",8291.22
"2021-10-21 00:00:00",5118.58
"2021-10-22 00:00:00",20674.21
"2021-10-23 00:00:00",19553
"2021-10-24 00:00:00",21924.33
"2021-10-25 00:00:00",3160.92
"2021-10-26 00:00:00",1423.12
"2021-10-27 00:00:00",958.98
"2021-10-28 00:00:00",838.97
"2021-10-29 00:00:00",1516.35
"2021-10-30 00:00:00",6171.04
"2021-10-31 00:00:00",1836.11
"2021-11-01 00:00:00",14274.17
"2021-11-02 00:00:00",5119.49
"2021-11-03 00:00:00",5073.21
"2021-11-04 00:00:00",2433.92
"2021-11-05 00:00:00",10732.77
"2021-11-06 00:00:00",1343.98
"2021-11-07 00:00:00",11920.51
"2021-11-08 00:00:00",2036.1
"2021-11-09 00:00:00",2349.06
"2021-11-10 00:00:00",1791.58
"2021-11-11 00:00:00",4576.19
"2021-11-12 00:00:00",8365.59
"2021-11-13 00:00:00",12122.89
"2021-11-14 00:00:00",10576.05
"2021-11-15 00:00:00",12301.74
"2021-11-16 00:00:00",17489.3
"2021-11-17 00:00:00",17378.5
"2021-11-18 00:00:00",12053.84
"2021-11-19 00:00:00",29376.26
"2021-11-20 00:00:00",29967.92
"2021-11-21 00:00:00",6967.57
"2021-11-22 00:00:00",1500.99
"2021-11-23 00:00:00",3748.36
"2021-11-24 00:00:00",3773.04
"2021-11-25 00:00:00",2402.44
"2021-11-26 00:00:00",1047.9
"2021-11-27 00:00:00",1039.3
"2021-11-28 00:00:00",2687.63
"2021-11-29 00:00:00",3661.94
"2021-11-30 00:00:00",1937.91
"2021-12-01 00:00:00",5811.64
"2021-12-02 00:00:00",1307.74
"2021-12-03 00:00:00",7091.43
"2021-12-04 00:00:00",1216.25
"2021-12-05 00:00:00",1839.31
"2021-12-06 00:00:00",5976.43
"2021-12-07 00:00:00",4889.48
"2021-12-08 00:00:00",1615.03
"2021-12-09 00:00:00",330.71
"2021-12-10 00:00:00",1313.62
"2021-12-11 00:00:00",11926.57
"2021-12-12 00:00:00",6655.61
"2021-12-13 00:00:00",7667.02
"2021-12-14 00:00:00",14166.2
"2021-12-15 00:00:00",25525.39
"2021-12-16 00:00:00",1092.87
"2021-12-17 00:00:00",2020.22
"2021-12-18 00:00:00",3519.4
"2021-12-19 00:00:00",1198.9
"2021-12-20 00:00:00",268.13
"2021-12-21 00:00:00",321.84
"2021-12-22 00:00:00",1415.64
"2021-12-23 00:00:00",2273.83
"2021-12-24 00:00:00",4373.2
"2021-12-25 00:00:00",4491
"2021-12-26 00:00:00",3088.24
"2021-12-27 00:00:00",2819.16
"2021-12-28 00:00:00",4715.89
"2021-12-29 00:00:00",1924.44
"2021-12-30 00:00:00",3781.7
"2021-12-31 00:00:00",16926.11
"2022-01-01 00:00:00",8957.56
"2022-01-02 00:00:00",1120.23
"2022-01-03 00:00:00",4868.21
"2022-01-04 00:00:00",1555.8
"2022-01-05 00:00:00",10414.51
"2022-01-06 00:00:00",7351.54
"2022-01-07 00:00:00",9195.2
"2022-01-08 00:00:00",15577.54
"2022-01-09 00:00:00",3313.83
"2022-01-10 00:00:00",1989.76
"2022-01-11 00:00:00",8926.91
"2022-01-12 00:00:00",19566.18
"2022-01-13 00:00:00",21145.02
"2022-01-14 00:00:00",1866.01
"2022-01-15 00:00:00",30824.82
"2022-01-16 00:00:00",10458.59
"2022-01-17 00:00:00",8800.18
"2022-01-18 00:00:00",6283.09
"2022-01-19 00:00:00",1545.26
"2022-01-20 00:00:00",2232.66
"2022-01-21 00:00:00",1887.98
"2022-01-22 00:00:00",378.73
"2022-01-23 00:00:00",935.07
"2022-01-24 00:00:00",5308.43
"2022-01-25 00:00:00",4846.24
"2022-01-26 00:00:00",2909.5
"2022-01-27 00:00:00",2029.18
"2022-01-28 00:00:00",6788.7
"2022-01-29 00:00:00",1756.93
"2022-01-30 00:00:00",7002.05
"2022-01-31 00:00:00",1936.29
"2022-02-01 00:00:00",548.56
"2022-02-02 00:00:00",2057.53
"2022-02-03 00:00:00",3039.35
"2022-02-04 00:00:00",3986.2
"2022-02-05 00:00:00",2090.04
"2022-02-06 00:00:00",1737.71
"2022-02-07 00:00:00",62265.88
"2022-02-08 00:00:00",336.53
"2022-02-09 00:00:00",1183.41
"2022-02-10 00:00:00",849.94
"2022-02-11 00:00:00",2175.38
"2022-02-12 00:00:00",12503.66
"2022-02-13 00:00:00",878.77
"2022-02-14 00:00:00",1476.64
"2022-02-15 00:00:00",2305.13
"2022-02-16 00:00:00",4783.32
"2022-02-17 00:00:00",5145.93
"2022-02-18 00:00:00",6088.1
"2022-02-19 00:00:00",16304.15
"2022-02-20 00:00:00",2469.57
"2022-02-21 00:00:00",87012.43
"2022-02-22 00:00:00",5755.21
"2022-02-23 00:00:00",74394.44
"2022-02-24 00:00:00",15265.06
"2022-02-25 00:00:00",12882.52
"2022-02-26 00:00:00",35855.52
"2022-02-27 00:00:00",5598.24
"2022-02-28 00:00:00",5524.29
"2022-03-01 00:00:00",1117.56
