"DateTime","Sales (USD)"
"2021-08-09 00:00:00",2529784.75
"2021-08-10 00:00:00",729122.75
"2021-08-11 00:00:00",215852.15
"2021-08-12 00:00:00",349943.03
"2021-08-13 00:00:00",314575.97
"2021-08-14 00:00:00",141136.86
"2021-08-15 00:00:00",125591.75
"2021-08-16 00:00:00",38127.31
"2021-08-23 00:00:00",1106599.82
"2021-08-24 00:00:00",498451.06
"2021-08-25 00:00:00",319811.21
"2021-08-26 00:00:00",259395.45
"2021-08-27 00:00:00",107719.84
"2021-08-28 00:00:00",108142.01
"2021-08-29 00:00:00",51337.87
"2021-08-30 00:00:00",85227.61
"2021-08-31 00:00:00",47675.29
"2021-09-01 00:00:00",46191.8
"2021-09-02 00:00:00",27030.49
"2021-09-03 00:00:00",8081.42
"2021-09-04 00:00:00",10928.07
"2021-09-05 00:00:00",32708.92
"2021-09-06 00:00:00",8899.2
"2021-09-07 00:00:00",22859.98
"2021-09-08 00:00:00",10168.06
"2021-09-09 00:00:00",10859.53
"2021-09-10 00:00:00",6880.12
"2021-09-11 00:00:00",2171.64
"2021-09-12 00:00:00",7628.67
"2021-09-13 00:00:00",10763.22
"2021-09-14 00:00:00",10242.28
"2021-09-15 00:00:00",5293.36
"2021-09-16 00:00:00",15463.11
"2021-09-17 00:00:00",10905.48
"2021-09-18 00:00:00",5574.74
"2021-09-19 00:00:00",2756.67
"2021-09-20 00:00:00",6169.61
"2021-09-21 00:00:00",9709.36
"2021-09-22 00:00:00",15730.35
"2021-09-23 00:00:00",3402.51
"2021-09-24 00:00:00",3452.06
"2021-09-25 00:00:00",3389.13
"2021-09-26 00:00:00",5030.45
"2021-09-27 00:00:00",8805.24
"2021-09-28 00:00:00",6738.98
"2021-09-29 00:00:00",10747.55
"2021-09-30 00:00:00",3751.08
"2021-10-01 00:00:00",3873.96
"2021-10-02 00:00:00",3702.4
"2021-10-03 00:00:00",6045.43
"2021-10-04 00:00:00",8149.35
"2021-10-05 00:00:00",12351.64
"2021-10-06 00:00:00",4706.15
"2021-10-07 00:00:00",5801.23
"2021-10-08 00:00:00",14275.13
"2021-10-09 00:00:00",17792.95
"2021-10-10 00:00:00",25996.35
"2021-10-11 00:00:00",7730.21
"2021-10-12 00:00:00",6750.19
"2021-10-13 00:00:00",5319.73
"2021-10-14 00:00:00",1843.27
"2021-10-15 00:00:00",1811.28
"2021-10-16 00:00:00",2137.52
"2021-10-17 00:00:00",3590.76
"2021-10-18 00:00:00",2693.91
"2021-10-19 00:00:00",2123.93
"2021-10-20 00:00:00",1716.6
"2021-10-21 00:00:00",1270.51
"2021-10-22 00:00:00",882.76
"2021-10-23 00:00:00",580.31
"2021-10-24 00:00:00",1381.38
"2021-10-25 00:00:00",1666.11
"2021-10-27 00:00:00",80
"2021-10-28 00:00:00",65.73
"2021-10-29 00:00:00",130.5
"2021-11-01 00:00:00",173.91
"2021-11-02 00:00:00",80.58
"2021-11-03 00:00:00",41.18
"2021-11-05 00:00:00",80.7
"2021-11-06 00:00:00",401.82
"2021-11-07 00:00:00",40.92
"2021-11-08 00:00:00",804.72
"2021-11-09 00:00:00",66.73
"2021-11-10 00:00:00",31.68
"2021-11-11 00:00:00",156.3
"2021-11-12 00:00:00",116.79
"2021-11-14 00:00:00",578.5
"2021-11-17 00:00:00",715.75
"2021-11-18 00:00:00",307.02
"2021-11-19 00:00:00",290.47
"2021-11-20 00:00:00",149.96
"2021-11-21 00:00:00",26.18
"2021-11-22 00:00:00",75.61
"2021-11-23 00:00:00",32.79
"2021-11-24 00:00:00",342.77
"2021-11-26 00:00:00",32.68
"2021-11-27 00:00:00",142.72
"2021-11-28 00:00:00",110.1
"2021-11-29 00:00:00",900.56
"2022-01-01 00:00:00",36.7
"2022-01-02 00:00:00",113.4
"2022-01-03 00:00:00",19.09
"2022-01-04 00:00:00",457.18
"2022-01-06 00:00:00",112.89
"2022-01-07 00:00:00",19.03
"2022-01-08 00:00:00",63.4
"2022-01-12 00:00:00",20.15
"2022-01-13 00:00:00",29.35
"2022-01-14 00:00:00",114.77
"2022-01-17 00:00:00",347.02
"2022-01-18 00:00:00",31.65
"2022-01-20 00:00:00",195.63
"2022-01-22 00:00:00",24.3
"2022-01-24 00:00:00",74.71
"2022-01-25 00:00:00",48.63
"2022-01-26 00:00:00",316.24
"2022-01-27 00:00:00",119.9
"2022-01-29 00:00:00",100.42
"2022-01-30 00:00:00",0
