"DateTime","Sales (USD)"
"2021-12-07 00:00:00",1024386.07
"2021-12-08 00:00:00",2315334.29
"2021-12-09 00:00:00",1622060.91
"2021-12-10 00:00:00",902884.88
"2021-12-11 00:00:00",630139.64
"2021-12-12 00:00:00",423958.95
"2021-12-13 00:00:00",608081.03
"2021-12-14 00:00:00",833877.74
"2021-12-15 00:00:00",2292216.09
"2021-12-16 00:00:00",1587289.53
"2021-12-17 00:00:00",710254.91
"2021-12-18 00:00:00",360903.45
"2021-12-19 00:00:00",326586.27
"2021-12-20 00:00:00",181144.75
"2021-12-21 00:00:00",95766.46
"2021-12-22 00:00:00",170905.19
"2021-12-23 00:00:00",269681
"2021-12-24 00:00:00",188175.77
"2021-12-25 00:00:00",227486.2
"2021-12-26 00:00:00",168923.93
"2021-12-27 00:00:00",172171.33
"2021-12-28 00:00:00",207046.56
"2021-12-29 00:00:00",200635.7
"2021-12-30 00:00:00",140637.59
"2021-12-31 00:00:00",100593.7
"2022-01-01 00:00:00",86308.41
"2022-01-02 00:00:00",133255.66
"2022-01-03 00:00:00",90790.15
"2022-01-04 00:00:00",125962.96
"2022-01-05 00:00:00",141746.47
"2022-01-06 00:00:00",112202.33
"2022-01-07 00:00:00",84496.58
"2022-01-08 00:00:00",89849.69
"2022-01-09 00:00:00",82029.74
"2022-01-10 00:00:00",49600.9
"2022-01-11 00:00:00",70309.73
"2022-01-12 00:00:00",71232.84
"2022-01-13 00:00:00",100456.72
"2022-01-14 00:00:00",58535.07
"2022-01-15 00:00:00",48109.32
"2022-01-16 00:00:00",95536.17
"2022-01-17 00:00:00",88687.21
"2022-01-18 00:00:00",76028.64
"2022-01-19 00:00:00",72089.67
"2022-01-20 00:00:00",71026.64
"2022-01-21 00:00:00",36682.55
"2022-01-22 00:00:00",28275.02
"2022-01-23 00:00:00",24887.71
"2022-01-24 00:00:00",58613.68
"2022-01-25 00:00:00",157872.02
"2022-01-26 00:00:00",109489.27
"2022-01-27 00:00:00",122330.11
"2022-01-28 00:00:00",146125.92
"2022-01-29 00:00:00",135226.02
"2022-01-30 00:00:00",148506.24
"2022-01-31 00:00:00",131598.41
"2022-02-01 00:00:00",154420.19
"2022-02-02 00:00:00",344699.18
"2022-02-03 00:00:00",423674.49
"2022-02-04 00:00:00",304106.74
"2022-02-05 00:00:00",86221.89
"2022-02-06 00:00:00",128585.2
"2022-02-07 00:00:00",266266.7
"2022-02-08 00:00:00",296959.39
"2022-02-09 00:00:00",322845.04
"2022-02-10 00:00:00",333793.52
"2022-02-11 00:00:00",266218.9
"2022-02-12 00:00:00",156127.76
"2022-02-13 00:00:00",161037.92
"2022-02-14 00:00:00",146990.64
"2022-02-15 00:00:00",217048.7
"2022-02-16 00:00:00",145347.01
"2022-02-17 00:00:00",149210.64
"2022-02-18 00:00:00",171971
"2022-02-19 00:00:00",260137.35
"2022-02-20 00:00:00",174658.58
"2022-02-21 00:00:00",246124.49
"2022-02-22 00:00:00",187244.47
"2022-02-23 00:00:00",168955.75
"2022-02-24 00:00:00",189130.51
"2022-02-25 00:00:00",122965.89
"2022-02-26 00:00:00",152537.03
"2022-02-27 00:00:00",129005.33
"2022-02-28 00:00:00",142121.54
"2022-03-01 00:00:00",110831.83
"2022-03-02 00:00:00",104606.38
