"DateTime","Sales (USD)"
"2021-08-16 00:00:00",312.16
"2021-08-17 00:00:00",170384.57
"2021-08-18 00:00:00",97853.59
"2021-08-19 00:00:00",53538.91
"2021-08-20 00:00:00",32902.91
"2021-08-21 00:00:00",66648.6
"2021-08-22 00:00:00",34758.03
"2021-08-23 00:00:00",56868.63
"2021-08-24 00:00:00",592138.21
"2021-08-25 00:00:00",2714632.37
"2021-08-26 00:00:00",5166372.53
"2021-08-27 00:00:00",2032015.36
"2021-08-28 00:00:00",966118.19
"2021-08-29 00:00:00",3242030.02
"2021-08-30 00:00:00",2848246.36
"2021-08-31 00:00:00",1544089.27
"2021-09-01 00:00:00",716645.41
"2021-09-02 00:00:00",774333.24
"2021-09-03 00:00:00",1037160.8
"2021-09-04 00:00:00",232172.64
"2021-09-05 00:00:00",251685.87
"2021-09-06 00:00:00",580875.69
"2021-09-07 00:00:00",583352.16
"2021-09-08 00:00:00",3753585.23
"2021-09-09 00:00:00",1048325.86
"2021-09-10 00:00:00",387990.96
"2021-09-11 00:00:00",521541.34
"2021-09-12 00:00:00",305726.23
"2021-09-13 00:00:00",452907.96
"2021-09-14 00:00:00",108526.67
"2021-09-15 00:00:00",296286.44
"2021-09-16 00:00:00",373895.56
"2021-09-17 00:00:00",1418717.26
"2021-09-18 00:00:00",1045208.64
"2021-09-19 00:00:00",1891935.46
"2021-09-20 00:00:00",1126135.12
"2021-09-21 00:00:00",462091.71
"2021-09-22 00:00:00",296939.14
"2021-09-23 00:00:00",355184.29
"2021-09-24 00:00:00",1017021.23
"2021-09-25 00:00:00",733798.76
"2021-09-26 00:00:00",1219794.7
"2021-09-27 00:00:00",7534453.33
"2021-09-28 00:00:00",611335.22
"2021-09-29 00:00:00",713058.26
"2021-09-30 00:00:00",1530541.81
"2021-10-01 00:00:00",7369071.3
"2021-10-02 00:00:00",4755514.57
"2021-10-03 00:00:00",668762.77
"2021-10-04 00:00:00",1134930.39
"2021-10-05 00:00:00",1594325.35
"2021-10-06 00:00:00",338473.24
"2021-10-07 00:00:00",257855.58
"2021-10-08 00:00:00",659622.39
"2021-10-09 00:00:00",323668.07
"2021-10-10 00:00:00",507966.5
"2021-10-11 00:00:00",1409312.16
"2021-10-12 00:00:00",440708.22
"2021-10-13 00:00:00",426165.98
"2021-10-14 00:00:00",232019.9
"2021-10-15 00:00:00",930935.41
"2021-10-16 00:00:00",786569.18
"2021-10-17 00:00:00",1328890.23
"2021-10-18 00:00:00",845989.11
"2021-10-19 00:00:00",1641918.42
"2021-10-20 00:00:00",1277466.12
"2021-10-21 00:00:00",913883.03
"2021-10-22 00:00:00",1900883.37
"2021-10-23 00:00:00",2476840.97
"2021-10-24 00:00:00",1402881.32
"2021-10-25 00:00:00",959935.69
"2021-10-26 00:00:00",723679.68
"2021-10-27 00:00:00",426130.34
"2021-10-28 00:00:00",250773.76
"2021-10-29 00:00:00",627588.81
"2021-10-30 00:00:00",540240.64
"2021-10-31 00:00:00",338796.44
"2021-11-01 00:00:00",1236218.85
"2021-11-02 00:00:00",2051922.56
"2021-11-03 00:00:00",532883.42
"2021-11-04 00:00:00",546548.5
"2021-11-05 00:00:00",472977.91
"2021-11-06 00:00:00",677965.94
"2021-11-07 00:00:00",711338.73
"2021-11-08 00:00:00",624336.79
"2021-11-09 00:00:00",2341100.61
"2021-11-10 00:00:00",746470.12
"2021-11-11 00:00:00",1280619.38
"2021-11-12 00:00:00",760751.5
"2021-11-13 00:00:00",2454484.91
"2021-11-14 00:00:00",3969165.31
"2021-11-15 00:00:00",880973.89
"2021-11-16 00:00:00",915501.95
"2021-11-17 00:00:00",625334.19
"2021-11-18 00:00:00",352228.63
"2021-11-19 00:00:00",415945.15
"2021-11-20 00:00:00",459918.78
"2021-11-21 00:00:00",681101.16
"2021-11-22 00:00:00",445828.92
"2021-11-23 00:00:00",263838.78
"2021-11-24 00:00:00",416883.19
"2021-11-25 00:00:00",264922.4
"2021-11-26 00:00:00",0.82
"2021-11-27 00:00:00",1.41
"2021-11-28 00:00:00",0.27
"2021-11-29 00:00:00",1.2
"2021-11-30 00:00:00",1.49
"2022-01-01 00:00:00",1172622.54
"2022-01-02 00:00:00",1794174.73
"2022-01-03 00:00:00",2102887.64
"2022-01-04 00:00:00",1214618.68
"2022-01-05 00:00:00",885964.25
"2022-01-06 00:00:00",804954.79
"2022-01-07 00:00:00",815898.56
"2022-01-08 00:00:00",1010322.17
"2022-01-09 00:00:00",719484.88
"2022-01-10 00:00:00",708754.77
"2022-01-11 00:00:00",632713.24
"2022-01-12 00:00:00",1008657.79
"2022-01-13 00:00:00",649068.34
"2022-01-14 00:00:00",452827.47
"2022-01-15 00:00:00",466818.54
"2022-01-16 00:00:00",991553
"2022-01-17 00:00:00",823429.91
"2022-01-18 00:00:00",363342.04
"2022-01-19 00:00:00",463417.46
"2022-01-20 00:00:00",607933.47
"2022-01-21 00:00:00",666981.37
"2022-01-22 00:00:00",509883.3
"2022-01-23 00:00:00",495067.18
"2022-01-24 00:00:00",693933.7
"2022-01-25 00:00:00",820019.13
"2022-01-26 00:00:00",2417277.4
"2022-01-27 00:00:00",1293180.38
"2022-01-28 00:00:00",575361.45
"2022-01-29 00:00:00",488474.84
"2022-01-30 00:00:00",414513.2
"2022-01-31 00:00:00",1010929.22
"2022-02-01 00:00:00",1014884.86
"2022-02-02 00:00:00",591029.18
"2022-02-03 00:00:00",655977.22
"2022-02-04 00:00:00",515217.48
"2022-02-05 00:00:00",468040.37
"2022-02-06 00:00:00",388480.56
"2022-02-07 00:00:00",325442.8
"2022-02-08 00:00:00",336506.07
"2022-02-09 00:00:00",266766.69
"2022-02-10 00:00:00",701529.53
"2022-02-11 00:00:00",1022098.84
"2022-02-12 00:00:00",567900.6
"2022-02-13 00:00:00",891676.24
"2022-02-14 00:00:00",391123.08
"2022-02-15 00:00:00",411208.75
"2022-02-16 00:00:00",338306.85
"2022-02-17 00:00:00",240705.39
"2022-02-18 00:00:00",261593.12
"2022-02-19 00:00:00",766016.67
"2022-02-20 00:00:00",542862.53
"2022-02-21 00:00:00",418210.09
"2022-02-22 00:00:00",379864.45
"2022-02-23 00:00:00",325527.48
"2022-02-24 00:00:00",275044.9
"2022-02-25 00:00:00",494974.23
"2022-02-26 00:00:00",444859.18
"2022-02-27 00:00:00",402489.09
"2022-02-28 00:00:00",268307.49
"2022-03-01 00:00:00",274533.39
"2022-03-02 00:00:00",205305.16
