"DateTime","Sales (USD)"
"2021-09-16 00:00:00",892.27
"2021-09-18 00:00:00",245.32
"2021-09-21 00:00:00",1867.15
"2021-09-22 00:00:00",1094.64
"2021-09-23 00:00:00",503.42
"2021-09-24 00:00:00",720.35
"2021-09-25 00:00:00",11321.07
"2021-09-26 00:00:00",5187.95
"2021-09-27 00:00:00",7046.62
"2021-09-28 00:00:00",5774.2
"2021-09-29 00:00:00",6244.93
"2021-09-30 00:00:00",8349.31
"2021-10-01 00:00:00",5975.17
"2021-10-02 00:00:00",5263.1
"2021-10-03 00:00:00",7328.49
"2021-10-04 00:00:00",10779.81
"2021-10-05 00:00:00",91250.82
"2021-10-06 00:00:00",89348.47
"2021-10-07 00:00:00",30155.29
"2021-10-08 00:00:00",12386.6
"2021-10-09 00:00:00",12120.08
"2021-10-10 00:00:00",17442.67
"2021-10-11 00:00:00",23253.93
"2021-10-12 00:00:00",36680.29
"2021-10-13 00:00:00",61933.76
"2021-10-14 00:00:00",171961.52
"2021-10-15 00:00:00",49348.65
"2021-10-16 00:00:00",32727.24
"2021-10-17 00:00:00",37664.6
"2021-10-18 00:00:00",56006.2
"2021-10-19 00:00:00",11644.68
"2021-10-20 00:00:00",19266.96
"2021-10-21 00:00:00",15507.11
"2021-10-22 00:00:00",7255.97
"2021-10-23 00:00:00",7987.57
"2021-10-24 00:00:00",5365.14
"2021-10-25 00:00:00",28337.66
"2021-10-26 00:00:00",17747.39
"2021-10-27 00:00:00",28541.6
"2021-10-28 00:00:00",16554.67
"2021-10-29 00:00:00",17144.18
"2021-10-30 00:00:00",19186.08
"2021-10-31 00:00:00",14580.86
"2021-11-01 00:00:00",15014.68
"2021-11-02 00:00:00",12795.43
"2021-11-03 00:00:00",9409.98
"2021-11-04 00:00:00",13099.25
"2021-11-05 00:00:00",11615.32
"2021-11-06 00:00:00",19487.66
"2021-11-07 00:00:00",31063.47
"2021-11-08 00:00:00",23687.69
"2021-11-09 00:00:00",54685.37
"2021-11-10 00:00:00",23028.86
"2021-11-11 00:00:00",31919.42
"2021-11-12 00:00:00",69856.81
"2021-11-13 00:00:00",84008.4
"2021-11-14 00:00:00",92329.95
"2021-11-15 00:00:00",144641.8
"2021-11-16 00:00:00",231233.79
"2021-11-17 00:00:00",478947.14
"2021-11-18 00:00:00",124722.42
"2021-11-19 00:00:00",192500.44
"2021-11-20 00:00:00",382268.57
"2021-11-21 00:00:00",670083.91
"2021-11-22 00:00:00",829228.72
"2021-11-23 00:00:00",948085.79
"2021-11-24 00:00:00",1104174.65
"2021-11-25 00:00:00",651009.88
"2021-11-26 00:00:00",499678.2
