"DateTime","Sales (USD)"
"2019-04-18 00:00:00",244.7
"2019-04-19 00:00:00",190.67
"2019-04-21 00:00:00",586.48
"2019-04-23 00:00:00",96.41
"2019-04-24 00:00:00",1.65
"2019-04-25 00:00:00",654.33
"2019-04-26 00:00:00",478.16
"2019-04-27 00:00:00",141.16
"2019-04-28 00:00:00",297.77
"2019-05-02 00:00:00",612.57
"2019-05-03 00:00:00",182.81
"2019-05-04 00:00:00",2.27
"2019-05-05 00:00:00",488.49
"2019-05-07 00:00:00",6.8
"2019-05-08 00:00:00",8.48
"2019-05-09 00:00:00",180.3
"2019-05-10 00:00:00",165.16
"2019-05-11 00:00:00",15.97
"2019-05-12 00:00:00",361.45
"2019-05-13 00:00:00",9.6
"2019-05-14 00:00:00",10.44
"2019-05-15 00:00:00",52.05
"2019-05-16 00:00:00",1571.06
"2019-05-17 00:00:00",13.81
"2019-05-18 00:00:00",9.86
"2019-05-19 00:00:00",66.54
"2019-05-20 00:00:00",220.87
"2019-05-21 00:00:00",759.15
"2019-05-22 00:00:00",109.8
"2019-05-23 00:00:00",1575.59
"2019-05-24 00:00:00",1185.97
"2019-05-25 00:00:00",29.22
"2019-05-26 00:00:00",19.05
"2019-05-27 00:00:00",40.89
"2019-05-28 00:00:00",9.22
"2019-05-29 00:00:00",192.3
"2019-05-30 00:00:00",145.2
"2019-05-31 00:00:00",159.94
"2019-06-01 00:00:00",39.24
"2019-06-04 00:00:00",109.43
"2019-06-05 00:00:00",69.96
"2019-06-06 00:00:00",565.9
"2019-06-07 00:00:00",288.76
"2019-06-08 00:00:00",22.75
"2019-06-09 00:00:00",266.39
"2019-06-10 00:00:00",72.79
"2019-06-11 00:00:00",44.49
"2019-06-12 00:00:00",1168.71
"2019-06-13 00:00:00",129.46
"2019-06-14 00:00:00",648.14
"2019-06-15 00:00:00",225.74
"2019-06-16 00:00:00",1188.68
"2019-06-17 00:00:00",105.65
"2019-06-18 00:00:00",32.96
"2019-06-19 00:00:00",30.93
"2019-06-20 00:00:00",61.78
"2019-06-21 00:00:00",281.58
"2019-06-22 00:00:00",36.99
"2019-06-23 00:00:00",1138.69
"2019-06-24 00:00:00",176.21
"2019-06-25 00:00:00",43.63
"2019-06-26 00:00:00",54.11
"2019-06-27 00:00:00",102.33
"2019-06-28 00:00:00",62.2
"2019-06-29 00:00:00",15.29
"2019-06-30 00:00:00",1221.11
"2019-07-01 00:00:00",21.45
"2019-07-03 00:00:00",90.32
"2019-07-04 00:00:00",44.93
"2019-07-05 00:00:00",149.11
"2019-07-07 00:00:00",3516.38
"2019-07-08 00:00:00",69.87
"2019-07-09 00:00:00",110.01
"2019-07-10 00:00:00",25.12
"2019-07-11 00:00:00",708.97
"2019-07-12 00:00:00",25.38
"2019-07-15 00:00:00",590.74
"2019-07-16 00:00:00",49.15
"2019-07-17 00:00:00",51.47
"2019-07-19 00:00:00",27.85
"2019-07-20 00:00:00",76.12
"2019-07-21 00:00:00",2.26
"2019-07-22 00:00:00",106.34
"2019-07-24 00:00:00",14.1
"2019-07-25 00:00:00",1471.57
"2019-07-26 00:00:00",505.64
"2019-07-27 00:00:00",35.13
"2019-07-28 00:00:00",47.46
"2019-07-29 00:00:00",46.6
"2019-07-30 00:00:00",91.8
"2019-07-31 00:00:00",12.87
"2019-08-01 00:00:00",1567.33
"2019-08-02 00:00:00",432.94
"2019-08-03 00:00:00",25.95
"2019-08-04 00:00:00",1491.79
"2019-08-05 00:00:00",287.82
"2019-08-06 00:00:00",137.24
"2019-08-07 00:00:00",256.33
"2019-08-08 00:00:00",41.02
"2019-08-09 00:00:00",318.5
"2019-08-10 00:00:00",34.46
