"DateTime","Sales (USD)"
"2021-08-08 00:00:00",1207671.04
"2021-08-09 00:00:00",727315.52
"2021-08-10 00:00:00",579204.75
"2021-08-11 00:00:00",312648.37
"2021-08-12 00:00:00",236665.7
"2021-08-13 00:00:00",301226.88
"2021-08-14 00:00:00",1906616.52
"2021-08-15 00:00:00",550010.13
"2021-08-16 00:00:00",349145.22
"2021-08-17 00:00:00",174651.11
"2021-08-18 00:00:00",165532.5
"2021-08-19 00:00:00",75530.88
"2021-08-20 00:00:00",77281.92
"2021-08-21 00:00:00",111735.02
"2021-08-22 00:00:00",95790.55
"2021-08-23 00:00:00",42108.94
"2021-08-24 00:00:00",64902.39
"2021-08-25 00:00:00",79006.9
"2021-08-26 00:00:00",38878.07
"2021-08-27 00:00:00",38796.8
"2021-08-28 00:00:00",36554.62
"2021-08-29 00:00:00",47449.7
"2021-08-30 00:00:00",35336.35
"2021-08-31 00:00:00",25104.25
"2021-09-01 00:00:00",30408.41
"2021-09-02 00:00:00",7422.64
"2021-09-03 00:00:00",4199.56
"2021-09-04 00:00:00",19721.72
"2021-09-05 00:00:00",10506.67
"2021-09-06 00:00:00",15656.05
"2021-09-07 00:00:00",18265.62
"2021-09-08 00:00:00",7439.86
"2021-09-09 00:00:00",19927.02
"2021-09-10 00:00:00",11848.01
"2021-09-11 00:00:00",4177.06
"2021-09-12 00:00:00",2446.37
"2021-09-13 00:00:00",10544.53
"2021-09-14 00:00:00",26277.96
"2021-09-15 00:00:00",13361.14
"2021-09-16 00:00:00",6165.32
"2021-09-17 00:00:00",6369.65
"2021-09-18 00:00:00",12013.2
"2021-09-19 00:00:00",7753.68
"2021-09-20 00:00:00",10362.84
"2021-09-21 00:00:00",58851.54
"2021-09-22 00:00:00",11967.28
"2021-09-23 00:00:00",10020.64
"2021-09-24 00:00:00",7801.71
"2021-09-25 00:00:00",14287.36
"2021-09-26 00:00:00",13119.1
"2021-09-27 00:00:00",47804.14
"2021-09-28 00:00:00",14281.13
"2021-09-29 00:00:00",82560.04
"2021-09-30 00:00:00",384892.56
"2021-10-01 00:00:00",180618.42
"2021-10-02 00:00:00",45867.23
"2021-10-03 00:00:00",20819.26
"2021-10-04 00:00:00",21528.34
"2021-10-05 00:00:00",15654.94
"2021-10-06 00:00:00",9404.6
"2021-10-07 00:00:00",8196.18
"2021-10-08 00:00:00",8796.92
"2021-10-09 00:00:00",6616.21
"2021-10-10 00:00:00",1964.09
"2021-10-11 00:00:00",4450.85
"2021-10-12 00:00:00",6546.9
"2021-10-13 00:00:00",6964.41
"2021-10-14 00:00:00",5069.97
"2021-10-15 00:00:00",7255.04
"2021-10-16 00:00:00",7107.25
"2021-10-17 00:00:00",3712.61
"2021-10-18 00:00:00",4275.18
"2021-10-19 00:00:00",2970.19
"2021-10-20 00:00:00",3382.88
"2021-10-21 00:00:00",4307.71
"2021-10-22 00:00:00",2499.63
"2021-10-23 00:00:00",2589.91
"2021-10-24 00:00:00",2124.13
"2021-10-25 00:00:00",622.74
"2021-10-26 00:00:00",2357.76
"2021-10-28 00:00:00",648.58
"2021-10-29 00:00:00",10556.51
"2021-10-30 00:00:00",2943.1
"2021-10-31 00:00:00",2348.34
"2021-11-01 00:00:00",358.03
"2021-11-02 00:00:00",1972.78
"2021-11-03 00:00:00",937.86
"2021-11-04 00:00:00",2007.23
"2021-11-05 00:00:00",686.12
"2021-11-06 00:00:00",3514.27
"2021-11-07 00:00:00",470.58
"2021-11-08 00:00:00",1317.24
"2021-11-10 00:00:00",2145.78
"2021-11-11 00:00:00",671.69
"2021-11-12 00:00:00",1469.64
"2021-11-13 00:00:00",1996.14
"2021-11-14 00:00:00",451.24
"2021-11-15 00:00:00",1635.43
"2021-11-16 00:00:00",3762.83
"2021-11-17 00:00:00",3101.98
"2021-11-18 00:00:00",316.36
"2021-11-19 00:00:00",2599.74
"2021-11-20 00:00:00",1375.31
"2021-11-21 00:00:00",739.41
"2021-11-22 00:00:00",835.46
"2021-11-23 00:00:00",84.86
"2021-11-25 00:00:00",731.98
"2021-11-26 00:00:00",287.53
"2021-11-27 00:00:00",297.8
"2021-11-28 00:00:00",734.07
"2021-11-29 00:00:00",108.2
"2021-11-30 00:00:00",687.94
"2021-12-01 00:00:00",1175.21
"2021-12-02 00:00:00",2003.35
"2021-12-03 00:00:00",137.19
"2021-12-04 00:00:00",1264.39
"2021-12-05 00:00:00",2363.31
"2021-12-06 00:00:00",2484.72
"2021-12-07 00:00:00",417.9
"2021-12-08 00:00:00",249.27
"2021-12-09 00:00:00",235.9
"2021-12-10 00:00:00",1948.99
"2021-12-11 00:00:00",918.24
"2021-12-12 00:00:00",182.44
"2021-12-13 00:00:00",254.49
"2021-12-14 00:00:00",492.41
"2021-12-15 00:00:00",663.64
"2021-12-16 00:00:00",652.31
"2021-12-17 00:00:00",19.84
"2021-12-18 00:00:00",2564.4
