"DateTime","Sales (USD)"
"2022-01-25 00:00:00",41399.48
"2022-01-26 00:00:00",129291.71
"2022-01-27 00:00:00",10696041.17
"2022-01-28 00:00:00",7086887.6
"2022-01-29 00:00:00",5548653.96
"2022-01-30 00:00:00",3070820.02
"2022-01-31 00:00:00",2396168.92
"2022-02-01 00:00:00",8441359.01
"2022-02-02 00:00:00",5543962.91
"2022-02-03 00:00:00",9179538.24
"2022-02-04 00:00:00",4803100.56
"2022-02-05 00:00:00",1993977.48
"2022-02-06 00:00:00",711142.79
"2022-02-07 00:00:00",1509137.34
"2022-02-08 00:00:00",1354691.72
"2022-02-09 00:00:00",475928.42
"2022-02-10 00:00:00",377533.01
"2022-02-11 00:00:00",748448.45
"2022-02-12 00:00:00",431368.45
"2022-02-13 00:00:00",331316
"2022-02-14 00:00:00",297149.46
"2022-02-15 00:00:00",416517.06
"2022-02-16 00:00:00",278209.62
"2022-02-17 00:00:00",279779.43
"2022-02-18 00:00:00",192608.53
"2022-02-19 00:00:00",116263.3
"2022-02-20 00:00:00",95420.87
"2022-02-21 00:00:00",168590.02
"2022-02-22 00:00:00",112882.77
"2022-02-23 00:00:00",142370.24
"2022-02-24 00:00:00",116312.35
"2022-02-25 00:00:00",152313.14
"2022-02-26 00:00:00",56738.29
"2022-02-27 00:00:00",68067.56
"2022-02-28 00:00:00",59250.06
"2022-03-01 00:00:00",54943.43
"2022-03-02 00:00:00",340.08
