"DateTime","Sales (USD)"
"2021-11-21 00:00:00",319552.8
"2021-11-22 00:00:00",1366699.12
"2021-11-23 00:00:00",519660.61
"2021-11-24 00:00:00",257979.64
"2021-11-25 00:00:00",87232.24
"2021-11-26 00:00:00",93625.88
"2021-11-27 00:00:00",412096.21
"2021-11-28 00:00:00",103432.97
"2021-11-29 00:00:00",189248.07
"2021-11-30 00:00:00",345662.42
"2021-12-01 00:00:00",148351.58
"2021-12-02 00:00:00",74559.85
"2021-12-03 00:00:00",95300.26
"2021-12-04 00:00:00",70610.24
"2021-12-05 00:00:00",63317.15
"2021-12-06 00:00:00",35030.53
"2021-12-07 00:00:00",41059.53
"2021-12-08 00:00:00",25080.81
"2021-12-09 00:00:00",26680.48
"2021-12-10 00:00:00",32233.99
"2021-12-11 00:00:00",29551.42
"2021-12-12 00:00:00",13053.27
"2021-12-13 00:00:00",14159.37
"2021-12-14 00:00:00",20986.62
"2021-12-15 00:00:00",25548.44
"2021-12-16 00:00:00",19968.69
"2021-12-17 00:00:00",4078.28
"2021-12-18 00:00:00",110859.32
"2021-12-19 00:00:00",146472.57
"2021-12-20 00:00:00",197627.33
"2021-12-21 00:00:00",119032.97
"2021-12-22 00:00:00",69316.95
"2021-12-23 00:00:00",54670.44
"2021-12-24 00:00:00",35086.61
"2021-12-25 00:00:00",24214.27
"2021-12-26 00:00:00",22878.15
"2021-12-27 00:00:00",37338.52
"2021-12-28 00:00:00",97842.02
"2021-12-29 00:00:00",40136.26
"2021-12-30 00:00:00",30422.17
"2021-12-31 00:00:00",59800.13
"2022-01-01 00:00:00",171607.93
"2022-01-02 00:00:00",68800.74
"2022-01-03 00:00:00",34209.96
"2022-01-04 00:00:00",244725.19
"2022-01-05 00:00:00",303461.91
"2022-01-06 00:00:00",44673.88
"2022-01-07 00:00:00",49174.83
"2022-01-08 00:00:00",39060.71
"2022-01-09 00:00:00",45953.53
"2022-01-10 00:00:00",28593.37
"2022-01-12 00:00:00",81538.99
"2022-01-13 00:00:00",60630.04
"2022-01-14 00:00:00",177074.85
"2022-01-15 00:00:00",91510.05
"2022-01-16 00:00:00",64128.54
"2022-01-17 00:00:00",102194.63
"2022-01-18 00:00:00",5362.83
"2022-01-19 00:00:00",50481.38
"2022-01-20 00:00:00",67222.88
"2022-01-21 00:00:00",18997.56
"2022-01-22 00:00:00",18741.39
"2022-01-23 00:00:00",40553.76
"2022-01-24 00:00:00",52260.74
"2022-01-25 00:00:00",299448.42
"2022-01-26 00:00:00",197810
"2022-01-27 00:00:00",152171.25
"2022-01-28 00:00:00",84461.39
"2022-01-29 00:00:00",18835.86
"2022-01-30 00:00:00",91984.43
"2022-01-31 00:00:00",78266.96
"2022-02-01 00:00:00",139439.47
"2022-02-02 00:00:00",127332.11
"2022-02-03 00:00:00",73261.6
"2022-02-04 00:00:00",74022.92
"2022-02-05 00:00:00",40624.5
"2022-02-06 00:00:00",102736.53
"2022-02-07 00:00:00",105426.8
"2022-02-08 00:00:00",56029.39
"2022-02-09 00:00:00",145007.07
"2022-02-10 00:00:00",22293.4
"2022-02-11 00:00:00",24952.6
"2022-02-12 00:00:00",48749.38
"2022-02-13 00:00:00",18032.06
"2022-02-14 00:00:00",8821.08
"2022-02-15 00:00:00",49215.62
"2022-02-16 00:00:00",121067.81
"2022-02-17 00:00:00",142891.29
"2022-02-18 00:00:00",121812.36
"2022-02-19 00:00:00",124466.69
"2022-02-20 00:00:00",48143.39
"2022-02-21 00:00:00",45842.51
"2022-02-22 00:00:00",28356.53
"2022-02-23 00:00:00",75328.31
"2022-02-24 00:00:00",14511.88
"2022-02-25 00:00:00",15454.67
"2022-02-26 00:00:00",14643.16
"2022-02-27 00:00:00",41207.2
"2022-02-28 00:00:00",29685.87
"2022-03-01 00:00:00",200863.65
"2022-03-02 00:00:00",99282.89
