"DateTime","Sales (USD)"
"2022-02-13 00:00:00",7177748.18
"2022-02-14 00:00:00",2506572.25
"2022-02-15 00:00:00",2204265.79
"2022-02-16 00:00:00",8126610.41
"2022-02-17 00:00:00",2136435.16
"2022-02-18 00:00:00",911904.88
"2022-02-19 00:00:00",722528.57
"2022-02-20 00:00:00",839666
"2022-02-21 00:00:00",2527012.77
"2022-02-22 00:00:00",480359.9
"2022-02-23 00:00:00",307362.67
"2022-02-24 00:00:00",306053.49
"2022-02-25 00:00:00",209746.72
"2022-02-26 00:00:00",93614.87
"2022-02-27 00:00:00",177733.75
"2022-02-28 00:00:00",64344.05
"2022-03-01 00:00:00",146586.66
"2022-03-02 00:00:00",0
