"DateTime","Sales (USD)"
"2021-07-23 00:00:00",42272.19
"2021-07-24 00:00:00",163935.84
"2021-07-25 00:00:00",100805.38
"2021-07-26 00:00:00",88972.66
"2021-07-27 00:00:00",94768.06
"2021-07-28 00:00:00",63012.37
"2021-07-29 00:00:00",40951.84
"2021-07-30 00:00:00",78834.56
"2021-07-31 00:00:00",443922.43
"2021-08-01 00:00:00",1667172.94
"2021-08-02 00:00:00",1266126.72
"2021-08-03 00:00:00",1290702.85
"2021-08-04 00:00:00",974688.26
"2021-08-05 00:00:00",959800.16
"2021-08-06 00:00:00",1528037.82
"2021-08-07 00:00:00",701636.84
"2021-08-08 00:00:00",533244.62
"2021-08-09 00:00:00",352595.2
"2021-08-10 00:00:00",506142.9
"2021-08-11 00:00:00",284294.09
"2021-08-12 00:00:00",231759.79
"2021-08-13 00:00:00",241901.84
"2021-08-14 00:00:00",233938.06
"2021-08-15 00:00:00",223448.98
"2021-08-16 00:00:00",190449.03
"2021-08-17 00:00:00",163253.81
"2021-08-18 00:00:00",241761.31
"2021-08-19 00:00:00",207823.77
"2021-08-20 00:00:00",185613.56
"2021-08-21 00:00:00",493178.24
"2021-08-22 00:00:00",382346.73
"2021-08-23 00:00:00",644024.36
"2021-08-24 00:00:00",571332.79
"2021-08-25 00:00:00",535625.38
"2021-08-26 00:00:00",390983.95
"2021-08-27 00:00:00",367778.46
"2021-08-28 00:00:00",620218.23
"2021-08-29 00:00:00",1081118.1
"2021-08-30 00:00:00",2642628.99
"2021-08-31 00:00:00",6141774.49
"2021-09-01 00:00:00",3823463.1
"2021-09-02 00:00:00",724410.69
"2021-09-03 00:00:00",337687.82
"2021-09-04 00:00:00",290315.9
"2021-09-05 00:00:00",311686.66
"2021-09-06 00:00:00",205593.84
"2021-09-07 00:00:00",168440.18
"2021-09-08 00:00:00",145461.12
"2021-09-09 00:00:00",243877.98
"2021-09-10 00:00:00",106808.86
"2021-09-11 00:00:00",65460.61
"2021-09-12 00:00:00",77825.22
"2021-09-13 00:00:00",68793.81
"2021-09-14 00:00:00",155620.54
"2021-09-15 00:00:00",166964.93
"2021-09-16 00:00:00",1069468.96
"2021-09-17 00:00:00",1145821.62
"2021-09-18 00:00:00",632817.13
"2021-09-19 00:00:00",374789.75
"2021-09-20 00:00:00",271791.82
"2021-09-21 00:00:00",323550.94
"2021-09-22 00:00:00",332290.09
"2021-09-23 00:00:00",250256.13
"2021-09-24 00:00:00",243544.38
"2021-09-25 00:00:00",282397.75
"2021-09-26 00:00:00",171633.24
"2021-09-27 00:00:00",137921.28
"2021-09-28 00:00:00",155308.07
"2021-09-29 00:00:00",253384.14
"2021-09-30 00:00:00",245604.9
"2021-10-01 00:00:00",455445.33
"2021-10-02 00:00:00",1633842.89
"2021-10-03 00:00:00",3359602.77
"2021-10-04 00:00:00",1732797.06
"2021-10-05 00:00:00",2119669.5
"2021-10-06 00:00:00",2395449.93
"2021-10-07 00:00:00",1619548.7
"2021-10-08 00:00:00",1492597.16
"2021-10-09 00:00:00",779605.53
"2021-10-10 00:00:00",781634.04
"2021-10-11 00:00:00",755818.53
"2021-10-12 00:00:00",449027.05
"2021-10-13 00:00:00",729239.57
"2021-10-14 00:00:00",447825.53
"2021-10-15 00:00:00",515254.33
"2021-10-16 00:00:00",398197.13
"2021-10-17 00:00:00",567895
