"DateTime","Sales (USD)"
"2022-02-10 00:00:00",0
"2022-02-11 00:00:00",0
"2022-02-12 00:00:00",7799658.69
"2022-02-13 00:00:00",4198756.52
"2022-02-14 00:00:00",782123.48
"2022-02-15 00:00:00",781676.07
"2022-02-16 00:00:00",837372.42
"2022-02-17 00:00:00",884106.93
"2022-02-18 00:00:00",2463210.61
"2022-02-19 00:00:00",0
"2022-02-20 00:00:00",0
"2022-02-21 00:00:00",0
"2022-02-22 00:00:00",0
"2022-02-23 00:00:00",0
"2022-02-24 00:00:00",0
"2022-02-25 00:00:00",0
"2022-02-26 00:00:00",0
"2022-02-27 00:00:00",0
"2022-02-28 00:00:00",0
"2022-03-01 00:00:00",53179.49
"2022-03-02 00:00:00",802.57
