"DateTime","Sales (USD)"
"2021-10-14 00:00:00",3677215.64
"2021-10-15 00:00:00",6079156.86
"2021-10-16 00:00:00",1917641.77
"2021-10-17 00:00:00",1990260.88
"2021-10-18 00:00:00",862192.53
"2021-10-19 00:00:00",670878.69
"2021-10-20 00:00:00",673937.82
"2021-10-21 00:00:00",424808.46
"2021-10-22 00:00:00",210928.24
"2021-10-23 00:00:00",368116.72
"2021-10-24 00:00:00",768646.9
"2021-10-25 00:00:00",868759.78
"2021-10-26 00:00:00",730680.69
"2021-10-27 00:00:00",3455193.33
"2021-10-28 00:00:00",1619547.36
"2021-10-29 00:00:00",1639494.06
"2021-10-30 00:00:00",714353.25
"2021-10-31 00:00:00",981732.55
"2021-11-01 00:00:00",1268977.69
"2021-11-02 00:00:00",1405053.95
"2021-11-03 00:00:00",641812.44
"2021-11-04 00:00:00",509448.28
"2021-11-05 00:00:00",553528.23
"2021-11-06 00:00:00",405068.79
"2021-11-07 00:00:00",452537.63
"2021-11-08 00:00:00",339066.37
"2021-11-09 00:00:00",252994.25
"2021-11-10 00:00:00",244230.21
"2021-11-11 00:00:00",475490.42
"2021-11-12 00:00:00",260515.21
"2021-11-13 00:00:00",328679.86
"2021-11-14 00:00:00",170357.83
"2021-11-15 00:00:00",111186.79
"2021-11-16 00:00:00",198470.86
"2021-11-17 00:00:00",281111.6
"2021-11-18 00:00:00",146796.24
"2021-11-19 00:00:00",116222.7
"2021-11-20 00:00:00",141176.31
"2021-11-21 00:00:00",164289.44
"2021-11-22 00:00:00",213792.57
"2021-11-23 00:00:00",127382.32
"2021-11-24 00:00:00",161631.96
"2021-11-25 00:00:00",214742.48
"2021-11-26 00:00:00",212821.16
"2021-11-27 00:00:00",203149.53
"2021-11-28 00:00:00",87759.88
"2021-11-29 00:00:00",167484.3
"2021-11-30 00:00:00",207827.98
"2021-12-01 00:00:00",256765.82
"2021-12-02 00:00:00",184846.7
"2021-12-03 00:00:00",179895.02
"2021-12-04 00:00:00",103585.7
"2021-12-05 00:00:00",182141.25
"2021-12-06 00:00:00",74996.91
"2021-12-07 00:00:00",90186.17
"2021-12-08 00:00:00",197148.46
"2021-12-09 00:00:00",82758.09
"2021-12-10 00:00:00",60342.7
"2021-12-11 00:00:00",141629.19
"2021-12-12 00:00:00",57631.89
"2021-12-13 00:00:00",38169.94
"2021-12-14 00:00:00",83330.94
"2021-12-15 00:00:00",66582.74
"2021-12-16 00:00:00",33522.67
"2021-12-17 00:00:00",41237.95
"2021-12-18 00:00:00",65634.85
"2021-12-19 00:00:00",28087.4
"2021-12-20 00:00:00",110818.94
"2021-12-21 00:00:00",32535.94
"2021-12-22 00:00:00",43974.47
"2021-12-23 00:00:00",39273.63
"2021-12-24 00:00:00",73711.86
"2021-12-25 00:00:00",87552.33
"2021-12-26 00:00:00",54741.91
"2021-12-27 00:00:00",83261.94
"2021-12-28 00:00:00",159771.29
"2021-12-29 00:00:00",77070.95
"2021-12-30 00:00:00",62575.56
"2021-12-31 00:00:00",93665.54
"2022-01-01 00:00:00",120623.99
"2022-01-02 00:00:00",96439.75
"2022-01-03 00:00:00",37548.34
"2022-01-04 00:00:00",308068.31
"2022-01-05 00:00:00",195358.82
"2022-01-06 00:00:00",216624.42
"2022-01-07 00:00:00",176503.8
"2022-01-08 00:00:00",97809.87
"2022-01-09 00:00:00",119513.64
"2022-01-10 00:00:00",268441.99
"2022-01-11 00:00:00",60753.64
"2022-01-12 00:00:00",58774.37
"2022-01-13 00:00:00",52347.84
"2022-01-14 00:00:00",37883.5
"2022-01-15 00:00:00",32088.36
"2022-01-16 00:00:00",71230.32
"2022-01-17 00:00:00",63175.47
"2022-01-18 00:00:00",46731.65
"2022-01-19 00:00:00",98372.1
"2022-01-20 00:00:00",110667.13
"2022-01-21 00:00:00",87369.69
"2022-01-22 00:00:00",48986.37
"2022-01-23 00:00:00",58245.92
"2022-01-24 00:00:00",27825.32
"2022-01-25 00:00:00",50053.43
"2022-01-26 00:00:00",36158.96
"2022-01-27 00:00:00",28062.38
"2022-01-28 00:00:00",27462.86
"2022-01-29 00:00:00",23473
"2022-01-30 00:00:00",42436.18
"2022-01-31 00:00:00",53714.85
"2022-02-01 00:00:00",62196.69
"2022-02-02 00:00:00",88956.65
"2022-02-03 00:00:00",48268.08
"2022-02-04 00:00:00",53992.49
"2022-02-05 00:00:00",23563.66
"2022-02-06 00:00:00",44798.04
"2022-02-07 00:00:00",103712.92
"2022-02-08 00:00:00",70029.67
"2022-02-09 00:00:00",77566.36
"2022-02-10 00:00:00",42786.63
"2022-02-11 00:00:00",32580.19
"2022-02-12 00:00:00",48277.62
"2022-02-13 00:00:00",11902.72
"2022-02-14 00:00:00",35794.8
"2022-02-15 00:00:00",53084.2
"2022-02-16 00:00:00",38288.94
"2022-02-17 00:00:00",79770.22
"2022-02-18 00:00:00",196325.9
"2022-02-19 00:00:00",125435.23
"2022-02-20 00:00:00",120380.36
"2022-02-21 00:00:00",23919.29
"2022-02-22 00:00:00",91129.77
"2022-02-23 00:00:00",44924.4
"2022-02-24 00:00:00",27516.39
"2022-02-25 00:00:00",19756.09
"2022-02-26 00:00:00",25623.33
"2022-02-27 00:00:00",63685.25
"2022-02-28 00:00:00",53313.09
"2022-03-01 00:00:00",33015.73
