"DateTime","Sales (USD)"
"2021-08-01 00:00:00",5132271.33
"2021-08-02 00:00:00",2191999.04
"2021-08-03 00:00:00",1604766.4
"2021-08-04 00:00:00",2187412.07
"2021-08-05 00:00:00",948119.13
"2021-08-06 00:00:00",240966.33
"2021-08-07 00:00:00",5483147.46
"2021-08-08 00:00:00",2367437.74
"2021-08-09 00:00:00",464869.58
"2021-08-10 00:00:00",303547.26
"2021-08-11 00:00:00",321216.12
"2021-08-12 00:00:00",227437.71
"2021-08-13 00:00:00",138123.77
"2021-08-14 00:00:00",120518.12
"2021-08-15 00:00:00",419095.96
"2021-08-16 00:00:00",27286.44
"2021-08-17 00:00:00",265637.05
"2021-08-18 00:00:00",57787.41
"2021-08-19 00:00:00",10718.15
"2021-08-20 00:00:00",62109.56
"2021-08-21 00:00:00",29783.4
"2021-08-22 00:00:00",78312.28
"2021-08-23 00:00:00",221114.82
"2021-08-24 00:00:00",1303637.16
"2021-08-25 00:00:00",879362.29
"2021-08-26 00:00:00",792982.57
"2021-08-27 00:00:00",657114.43
"2021-08-28 00:00:00",445981.7
"2021-08-29 00:00:00",72076.59
"2021-08-30 00:00:00",85759.64
"2021-08-31 00:00:00",187928.2
"2021-09-01 00:00:00",229646.96
"2021-09-02 00:00:00",98926.28
"2021-09-03 00:00:00",75186.93
"2021-09-07 00:00:00",34271.3
"2021-09-08 00:00:00",65309.03
"2021-09-12 00:00:00",9234.95
"2021-09-14 00:00:00",6991.39
"2021-09-15 00:00:00",20830.27
"2021-09-17 00:00:00",16941.89
"2021-09-20 00:00:00",9103.61
"2021-09-21 00:00:00",9056.92
"2021-09-24 00:00:00",125361.65
"2021-09-26 00:00:00",10961.8
"2021-09-27 00:00:00",29117.32
"2021-09-28 00:00:00",17468.01
"2021-09-29 00:00:00",11363.4
"2021-09-30 00:00:00",16736.89
"2021-10-05 00:00:00",24740.15
"2021-10-06 00:00:00",107457.76
"2021-10-09 00:00:00",8485.32
"2021-10-11 00:00:00",15383.46
"2021-10-12 00:00:00",8732.3
"2021-10-13 00:00:00",30537.13
"2021-10-14 00:00:00",33335.47
"2021-10-17 00:00:00",44481.14
"2021-10-18 00:00:00",43622.28
"2021-10-21 00:00:00",35137.21
"2021-10-22 00:00:00",7499.59
"2021-10-25 00:00:00",16371.64
"2021-10-26 00:00:00",41957.09
"2021-10-27 00:00:00",30349.3
"2021-10-28 00:00:00",25440.75
"2021-10-31 00:00:00",29964.69
"2021-11-01 00:00:00",34710.69
"2021-11-02 00:00:00",60297.67
"2021-11-03 00:00:00",20399.47
"2021-11-06 00:00:00",28029.71
"2021-11-07 00:00:00",23006.36
"2021-11-11 00:00:00",17817.45
"2021-11-12 00:00:00",53956.12
"2021-11-14 00:00:00",7007.38
"2021-11-15 00:00:00",92394.63
"2021-11-16 00:00:00",9681.37
"2021-11-19 00:00:00",25194.26
"2021-11-21 00:00:00",31457.34
"2021-11-22 00:00:00",21717.9
"2021-11-24 00:00:00",23714.67
"2021-11-28 00:00:00",9673.1
"2022-01-01 00:00:00",42422.62
"2022-01-02 00:00:00",25200.12
"2022-01-05 00:00:00",7500.45
"2022-01-10 00:00:00",29025.01
"2022-01-11 00:00:00",18080.17
"2022-01-13 00:00:00",19147.23
"2022-01-14 00:00:00",6076.94
"2022-01-15 00:00:00",7055.53
"2022-01-18 00:00:00",7281.13
"2022-01-19 00:00:00",19269.86
"2022-01-20 00:00:00",15840.95
"2022-01-21 00:00:00",33392
"2022-01-22 00:00:00",8967.49
"2022-01-23 00:00:00",21875.61
"2022-01-24 00:00:00",4792.14
"2022-01-27 00:00:00",6524.62
"2022-01-28 00:00:00",19496.52
"2022-01-29 00:00:00",28279.46
"2022-01-30 00:00:00",10059.71
"2022-01-31 00:00:00",10066.14
"2022-03-01 00:00:00",7929.67
