"DateTime","Sales (USD)"
"2021-09-02 00:00:00",405551.84
"2021-09-03 00:00:00",995420.35
"2021-09-04 00:00:00",783293.81
"2021-09-05 00:00:00",425170.3
"2021-09-06 00:00:00",369927.16
"2021-09-07 00:00:00",259378.8
"2021-09-08 00:00:00",34313.16
"2021-09-09 00:00:00",18724.44
"2021-09-10 00:00:00",9584.28
"2021-09-11 00:00:00",16775.78
"2021-09-12 00:00:00",10158.99
"2021-09-13 00:00:00",6851.61
"2021-09-14 00:00:00",4522.61
"2021-09-15 00:00:00",19105.12
"2021-09-16 00:00:00",14970.43
"2021-09-17 00:00:00",13520.93
"2021-09-18 00:00:00",2577.47
"2021-09-19 00:00:00",13006.52
"2021-09-20 00:00:00",9291.84
"2021-09-21 00:00:00",66441.63
"2021-09-22 00:00:00",28364.05
"2021-09-23 00:00:00",10002.99
"2021-09-24 00:00:00",15154.83
"2021-09-25 00:00:00",4380.5
"2021-09-26 00:00:00",3869.46
"2021-09-27 00:00:00",17679.24
"2021-09-28 00:00:00",6621.14
"2021-09-29 00:00:00",3183.88
"2021-09-30 00:00:00",1944.21
"2021-10-01 00:00:00",7870.24
"2021-10-02 00:00:00",7193.01
"2021-10-03 00:00:00",9824.33
"2021-10-04 00:00:00",7843.03
"2021-10-05 00:00:00",3209.23
"2021-10-06 00:00:00",10892.6
"2021-10-07 00:00:00",8066.95
"2021-10-08 00:00:00",13088.43
"2021-10-09 00:00:00",28454.06
"2021-10-10 00:00:00",96493.43
"2021-10-11 00:00:00",72197.87
"2021-10-12 00:00:00",5139.27
"2021-10-13 00:00:00",8892.71
"2021-10-14 00:00:00",7028.82
"2021-10-15 00:00:00",3801.46
"2021-10-16 00:00:00",595.9
"2021-10-17 00:00:00",5114.59
"2021-10-18 00:00:00",1455.75
"2021-10-19 00:00:00",4095.25
"2021-10-20 00:00:00",4972.36
"2021-10-21 00:00:00",244.29
"2021-10-23 00:00:00",1538.65
"2021-10-24 00:00:00",243.99
"2021-10-25 00:00:00",416.57
"2021-10-26 00:00:00",1588.82
"2021-10-27 00:00:00",1183.95
"2021-10-28 00:00:00",1026.4
"2021-10-31 00:00:00",640.35
"2021-11-01 00:00:00",432.35
"2021-11-02 00:00:00",1200.14
"2021-11-03 00:00:00",1463.82
"2021-11-04 00:00:00",1443.43
"2021-11-05 00:00:00",753.16
"2021-11-06 00:00:00",891.88
"2021-11-07 00:00:00",460.66
"2021-11-12 00:00:00",716.37
"2021-11-13 00:00:00",951.2
"2021-11-14 00:00:00",1428.98
"2021-11-16 00:00:00",827.26
"2021-11-17 00:00:00",425.86
"2021-11-19 00:00:00",1198.93
"2021-11-20 00:00:00",1712.56
"2021-11-21 00:00:00",2080.02
"2021-11-22 00:00:00",3252.23
"2021-11-23 00:00:00",872.97
"2021-11-24 00:00:00",3626.29
"2021-11-25 00:00:00",2754.26
"2021-11-26 00:00:00",1655.37
"2021-11-27 00:00:00",7840.45
"2021-11-28 00:00:00",85739.78
"2021-11-29 00:00:00",224043.12
"2021-11-30 00:00:00",100426.47
"2021-12-01 00:00:00",17595.52
"2021-12-02 00:00:00",35181.09
"2021-12-03 00:00:00",17857.65
"2021-12-04 00:00:00",8457.93
"2021-12-05 00:00:00",15712.85
"2021-12-06 00:00:00",21374.58
"2021-12-07 00:00:00",32058.26
"2021-12-08 00:00:00",48854.28
"2021-12-09 00:00:00",2691.75
"2021-12-10 00:00:00",1840.45
"2021-12-12 00:00:00",557.48
"2021-12-14 00:00:00",441.42
"2021-12-15 00:00:00",401.29
"2021-12-18 00:00:00",1709.14
"2021-12-19 00:00:00",2167.76
"2021-12-21 00:00:00",4891.69
"2021-12-22 00:00:00",1023.04
"2021-12-24 00:00:00",607.72
"2021-12-25 00:00:00",2006.36
"2021-12-26 00:00:00",2250.25
"2021-12-27 00:00:00",6749.26
"2021-12-28 00:00:00",575.95
"2021-12-29 00:00:00",9105.36
"2021-12-30 00:00:00",2757.84
"2021-12-31 00:00:00",11691.35
"2022-01-01 00:00:00",31432.64
"2022-01-02 00:00:00",83488.31
"2022-01-03 00:00:00",69703.08
"2022-01-04 00:00:00",285257.06
"2022-01-05 00:00:00",92012.43
"2022-01-06 00:00:00",87078.55
"2022-01-07 00:00:00",54315.61
"2022-01-08 00:00:00",47912.3
"2022-01-09 00:00:00",24924.1
"2022-01-10 00:00:00",15628.25
"2022-01-11 00:00:00",35753.79
"2022-01-12 00:00:00",26766.75
"2022-01-13 00:00:00",41162.96
"2022-01-14 00:00:00",30046.54
"2022-01-15 00:00:00",46700.57
"2022-01-16 00:00:00",85297.05
"2022-01-17 00:00:00",24335.74
"2022-01-18 00:00:00",115772.07
"2022-01-19 00:00:00",261097.05
"2022-01-20 00:00:00",134136.45
"2022-01-21 00:00:00",35051.72
"2022-01-22 00:00:00",20363.88
"2022-01-23 00:00:00",29331.53
"2022-01-24 00:00:00",96079.58
"2022-01-25 00:00:00",75673.89
"2022-01-26 00:00:00",117104.59
"2022-01-27 00:00:00",59552.98
"2022-01-28 00:00:00",16803.18
"2022-01-29 00:00:00",13532.79
"2022-01-30 00:00:00",34243.84
"2022-01-31 00:00:00",4328.94
"2022-02-01 00:00:00",4780.87
"2022-02-02 00:00:00",13206.49
"2022-02-03 00:00:00",3427.5
"2022-02-04 00:00:00",14882.99
"2022-02-05 00:00:00",1809.28
"2022-02-06 00:00:00",4479.85
"2022-02-07 00:00:00",3533.31
"2022-02-08 00:00:00",9330.51
"2022-02-09 00:00:00",2908.8
"2022-02-10 00:00:00",7538.59
"2022-02-11 00:00:00",32615.13
"2022-02-12 00:00:00",1691.07
"2022-02-13 00:00:00",5782.64
"2022-02-14 00:00:00",0
"2022-02-15 00:00:00",0
"2022-02-16 00:00:00",7090.08
"2022-02-17 00:00:00",21635.8
"2022-02-18 00:00:00",22496.52
"2022-02-19 00:00:00",26608.04
"2022-02-20 00:00:00",3284.35
"2022-02-21 00:00:00",0
"2022-02-22 00:00:00",1010.74
"2022-02-23 00:00:00",5731.56
"2022-02-24 00:00:00",0
"2022-02-25 00:00:00",0
"2022-02-26 00:00:00",0
"2022-02-27 00:00:00",0
"2022-02-28 00:00:00",630.75
"2022-03-01 00:00:00",0
"2022-03-02 00:00:00",0
