"DateTime","Sales (USD)"
"2021-05-12 00:00:00",2077.89
"2021-05-13 00:00:00",4770.6
"2021-05-14 00:00:00",12757.57
"2021-05-15 00:00:00",13077.47
"2021-05-16 00:00:00",14102.79
"2021-05-17 00:00:00",23534.56
"2021-05-18 00:00:00",32341.1
"2021-05-19 00:00:00",76089.81
"2021-05-20 00:00:00",40606.77
"2021-05-21 00:00:00",2222.34
"2021-05-22 00:00:00",161714.02
"2021-05-23 00:00:00",114185.44
"2021-05-24 00:00:00",48239.26
"2021-05-25 00:00:00",37317.85
"2021-05-26 00:00:00",89781.23
"2021-05-27 00:00:00",53300.81
"2021-05-28 00:00:00",82859.23
"2021-05-29 00:00:00",185277.88
"2021-05-30 00:00:00",137689.05
"2021-05-31 00:00:00",135876.42
"2021-06-01 00:00:00",212902.16
"2021-06-02 00:00:00",184137.44
"2021-06-03 00:00:00",188453.23
"2021-06-04 00:00:00",119391.82
"2021-06-05 00:00:00",104903.86
"2021-06-06 00:00:00",547820.89
"2021-06-07 00:00:00",605625.05
"2021-06-08 00:00:00",413663.71
"2021-06-09 00:00:00",339303.16
"2021-06-10 00:00:00",881652.81
"2021-06-11 00:00:00",556070.09
"2021-06-12 00:00:00",345881.96
"2021-06-13 00:00:00",398832.86
"2021-06-14 00:00:00",529766.26
"2021-06-15 00:00:00",364806.45
"2021-06-16 00:00:00",312486.9
"2021-06-17 00:00:00",133835.17
"2021-06-18 00:00:00",431034.88
"2021-06-19 00:00:00",94259.26
"2021-06-20 00:00:00",179395.3
"2021-06-21 00:00:00",315372.31
"2021-06-22 00:00:00",367082.58
"2021-06-23 00:00:00",163940.51
"2021-06-24 00:00:00",139573.09
"2021-06-25 00:00:00",562702.37
"2021-06-26 00:00:00",465772.08
"2021-06-27 00:00:00",348472.93
"2021-06-28 00:00:00",507185.51
"2021-06-29 00:00:00",247631.48
"2021-06-30 00:00:00",247266.98
"2021-07-01 00:00:00",210294.89
"2021-07-02 00:00:00",272203.26
"2021-07-03 00:00:00",290609.45
"2021-07-04 00:00:00",270658.17
"2021-07-05 00:00:00",410111.81
"2021-07-06 00:00:00",294577.51
"2021-07-07 00:00:00",255086.41
"2021-07-08 00:00:00",143743.31
"2021-07-09 00:00:00",84478.88
"2021-07-10 00:00:00",210101.86
"2021-07-11 00:00:00",200646.32
"2021-07-12 00:00:00",197487.82
"2021-07-13 00:00:00",226306.22
"2021-07-14 00:00:00",199661.97
"2021-07-15 00:00:00",266442.84
"2021-07-16 00:00:00",109558.74
"2021-07-17 00:00:00",111425.94
"2021-07-18 00:00:00",143291.32
"2021-07-19 00:00:00",173383.03
"2021-07-20 00:00:00",126435.95
"2021-07-21 00:00:00",153666.78
"2021-07-22 00:00:00",262003.78
"2021-07-23 00:00:00",265623.55
"2021-07-24 00:00:00",331326.36
"2021-07-25 00:00:00",206143.79
"2021-07-26 00:00:00",235863.84
"2021-07-27 00:00:00",98002.73
"2021-07-28 00:00:00",252501.56
"2021-07-29 00:00:00",300100.06
"2021-07-30 00:00:00",764985.34
"2021-07-31 00:00:00",1514264
"2021-08-01 00:00:00",608553.98
"2021-08-02 00:00:00",562649.11
"2021-08-03 00:00:00",429876.68
"2021-08-04 00:00:00",1352706.77
"2021-08-05 00:00:00",1354045.02
"2021-08-06 00:00:00",3001720.32
"2021-08-07 00:00:00",2740249.75
"2021-08-08 00:00:00",754460.73
"2021-08-09 00:00:00",694358.36
"2021-08-10 00:00:00",428623.18
"2021-08-11 00:00:00",378290.59
"2021-08-12 00:00:00",851071.87
"2021-08-13 00:00:00",286511.28
"2021-08-14 00:00:00",635329.31
"2021-08-15 00:00:00",393691.97
"2021-08-16 00:00:00",189812.36
"2021-08-17 00:00:00",529435.36
"2021-08-18 00:00:00",191937.57
"2021-08-19 00:00:00",602808.24
"2021-08-20 00:00:00",85151.78
"2021-08-21 00:00:00",751550.36
"2021-08-22 00:00:00",348085.27
"2021-08-23 00:00:00",1008978.82
"2021-08-24 00:00:00",2958319.57
"2021-08-25 00:00:00",960696.32
"2021-08-26 00:00:00",530971.83
"2021-08-27 00:00:00",517159.55
"2021-08-28 00:00:00",917601.02
"2021-08-29 00:00:00",769871.52
"2021-08-30 00:00:00",1251426.69
"2021-08-31 00:00:00",2569625.59
"2021-09-01 00:00:00",2352774.32
"2021-09-02 00:00:00",983410.42
"2021-09-03 00:00:00",1686832.05
"2021-09-04 00:00:00",2381653.09
"2021-09-05 00:00:00",1800941.84
"2021-09-06 00:00:00",1921442.85
"2021-09-07 00:00:00",880248.31
"2021-09-08 00:00:00",562167.17
"2021-09-09 00:00:00",1992185.32
"2021-09-10 00:00:00",818127.51
"2021-09-11 00:00:00",912876.56
"2021-09-12 00:00:00",1054662.08
"2021-09-13 00:00:00",4379288.1
"2021-09-14 00:00:00",2150357.95
"2021-09-15 00:00:00",456831.71
"2021-09-16 00:00:00",650800.78
"2021-09-17 00:00:00",466183.44
"2021-09-18 00:00:00",300633.07
"2021-09-19 00:00:00",457307.94
"2021-09-20 00:00:00",248570.1
"2021-09-21 00:00:00",249271.34
"2021-09-22 00:00:00",189428.1
"2021-09-23 00:00:00",412885.61
"2021-09-24 00:00:00",411564.66
"2021-09-25 00:00:00",164364.01
"2021-09-26 00:00:00",301399.74
"2021-09-27 00:00:00",633809.81
"2021-09-28 00:00:00",813112.1
"2021-09-29 00:00:00",443754.32
"2021-09-30 00:00:00",273379.08
"2021-10-01 00:00:00",288296.04
"2021-10-02 00:00:00",231681.09
"2021-10-03 00:00:00",271986.88
"2021-10-04 00:00:00",359226.72
"2021-10-05 00:00:00",287405.28
"2021-10-06 00:00:00",424536.69
"2021-10-07 00:00:00",545054.21
"2021-10-08 00:00:00",167967.84
"2021-10-09 00:00:00",114379.79
"2021-10-10 00:00:00",186827.64
"2021-10-11 00:00:00",334011
"2021-10-12 00:00:00",86861.81
"2021-10-13 00:00:00",227645.5
"2021-10-14 00:00:00",373060.09
"2021-10-15 00:00:00",141015.52
"2021-10-16 00:00:00",342186.85
"2021-10-17 00:00:00",277597.81
"2021-10-18 00:00:00",746806.29
"2021-10-19 00:00:00",323011.45
"2021-10-20 00:00:00",254991.33
"2021-10-21 00:00:00",494976.8
"2021-10-22 00:00:00",183052.8
"2021-10-23 00:00:00",160747.2
"2021-10-24 00:00:00",411914.4
"2021-10-25 00:00:00",240996.09
"2021-10-26 00:00:00",217454.26
"2021-10-27 00:00:00",421268.95
"2021-10-28 00:00:00",195797.81
"2021-10-29 00:00:00",834080.15
"2021-10-30 00:00:00",81542.17
"2021-10-31 00:00:00",328242.31
"2021-11-01 00:00:00",85002.24
"2021-11-02 00:00:00",89226.57
"2021-11-03 00:00:00",788770.42
"2021-11-04 00:00:00",152814.15
"2021-11-05 00:00:00",165624.04
"2021-11-06 00:00:00",87195.58
"2021-11-07 00:00:00",167889.19
"2021-11-08 00:00:00",329805.5
"2021-11-09 00:00:00",505473.35
"2021-11-10 00:00:00",461619.61
"2021-11-11 00:00:00",290507.91
"2021-11-12 00:00:00",366908.07
"2021-11-13 00:00:00",140973.09
"2021-11-14 00:00:00",578423.34
"2021-11-15 00:00:00",726833.97
"2021-11-16 00:00:00",573232.52
"2021-11-17 00:00:00",663657.18
"2021-11-18 00:00:00",634899.2
"2021-11-19 00:00:00",378882.69
"2021-11-20 00:00:00",128232.88
"2021-11-21 00:00:00",171851.53
"2021-11-22 00:00:00",304880.99
"2021-11-23 00:00:00",80793.56
"2021-11-24 00:00:00",219056.5
"2021-11-25 00:00:00",315583.78
"2021-11-26 00:00:00",34078.95
"2021-11-27 00:00:00",147802.38
"2021-11-28 00:00:00",359284.69
"2021-11-29 00:00:00",587074.19
"2021-11-30 00:00:00",443613.81
"2021-12-01 00:00:00",733083.05
"2021-12-02 00:00:00",723308.39
"2021-12-03 00:00:00",177662.05
"2021-12-04 00:00:00",106537.02
"2021-12-05 00:00:00",103508.38
"2021-12-06 00:00:00",262725.46
"2021-12-07 00:00:00",31926.87
"2021-12-08 00:00:00",400109.48
"2021-12-09 00:00:00",259317.39
"2021-12-10 00:00:00",110727.03
"2021-12-11 00:00:00",386048.3
"2021-12-12 00:00:00",111184.65
"2021-12-13 00:00:00",343078.04
"2021-12-14 00:00:00",315800.6
"2021-12-15 00:00:00",336758.63
"2021-12-16 00:00:00",522164.44
"2021-12-17 00:00:00",225890.31
"2021-12-18 00:00:00",325773.38
"2021-12-19 00:00:00",411833.58
"2021-12-20 00:00:00",438149.05
"2021-12-21 00:00:00",584729.75
"2021-12-22 00:00:00",274213.42
"2021-12-23 00:00:00",206151.64
"2021-12-24 00:00:00",183108.12
"2021-12-25 00:00:00",443836.8
"2021-12-26 00:00:00",178569.41
"2021-12-27 00:00:00",250267.19
"2021-12-28 00:00:00",271957.48
"2021-12-29 00:00:00",401757.26
