"DateTime","Sales (USD)"
"2021-04-11 00:00:00",383.84
"2021-04-12 00:00:00",75
"2021-04-14 00:00:00",75.59
"2021-04-15 00:00:00",73.07
"2021-04-16 00:00:00",1311.31
"2021-04-18 00:00:00",426.26
"2021-04-19 00:00:00",1140.97
"2021-04-21 00:00:00",555.54
"2021-04-24 00:00:00",174.45
"2021-04-26 00:00:00",807.62
"2021-04-27 00:00:00",764.54
"2021-04-28 00:00:00",1370.12
"2021-05-01 00:00:00",1110.13
"2021-05-02 00:00:00",339.63
"2021-05-03 00:00:00",8134.4
"2021-05-04 00:00:00",4849.21
"2021-05-05 00:00:00",22170.4
"2021-05-06 00:00:00",12294.94
"2021-05-07 00:00:00",24906.36
"2021-05-08 00:00:00",3064.72
"2021-05-09 00:00:00",9246.23
"2021-05-10 00:00:00",1292.31
"2021-05-11 00:00:00",457.13
"2021-05-12 00:00:00",2960.99
"2021-05-13 00:00:00",5288.43
"2021-05-14 00:00:00",3391.82
"2021-05-15 00:00:00",5071.61
"2021-05-16 00:00:00",6188.44
"2021-05-17 00:00:00",5797.7
"2021-05-18 00:00:00",12802.47
"2021-05-19 00:00:00",6750.3
"2021-05-20 00:00:00",8305.04
"2021-05-21 00:00:00",9542.69
"2021-05-22 00:00:00",10129.37
"2021-05-23 00:00:00",5221.89
"2021-05-24 00:00:00",6295.74
"2021-05-25 00:00:00",4488.85
"2021-05-26 00:00:00",2507.83
"2021-05-27 00:00:00",3430.01
"2021-05-28 00:00:00",4095.45
"2021-05-29 00:00:00",1041
"2021-05-30 00:00:00",750.75
"2021-05-31 00:00:00",2685.65
"2021-06-01 00:00:00",12620.4
"2021-06-02 00:00:00",4949.6
"2021-06-03 00:00:00",4037.18
"2021-06-04 00:00:00",2819.88
"2021-06-05 00:00:00",3101.41
"2021-06-06 00:00:00",2982.69
"2021-06-07 00:00:00",3799.42
"2021-06-08 00:00:00",3368.31
"2021-06-09 00:00:00",1876.7
"2021-06-10 00:00:00",2892.25
"2021-06-11 00:00:00",4187.33
"2021-06-12 00:00:00",3053.23
"2021-06-13 00:00:00",3279.61
"2021-06-14 00:00:00",2664.97
"2021-06-15 00:00:00",8560.68
"2021-06-16 00:00:00",6404.83
"2021-06-17 00:00:00",1841.58
"2021-06-18 00:00:00",2152.87
"2021-06-19 00:00:00",5052.01
"2021-06-20 00:00:00",3642.71
"2021-06-21 00:00:00",4895.59
"2021-06-22 00:00:00",4084.5
"2021-06-23 00:00:00",5270.48
"2021-06-24 00:00:00",8994.6
"2021-06-25 00:00:00",4742.22
"2021-06-26 00:00:00",5734.3
"2021-06-27 00:00:00",2734.51
"2021-06-28 00:00:00",2978.56
"2021-06-29 00:00:00",6800.84
"2021-06-30 00:00:00",4030.81
"2021-07-01 00:00:00",5738.03
"2021-07-02 00:00:00",46267.29
"2021-07-03 00:00:00",6722.53
"2021-07-04 00:00:00",6567.26
"2021-07-05 00:00:00",6324.77
"2021-07-06 00:00:00",13049.56
"2021-07-07 00:00:00",3730.72
"2021-07-08 00:00:00",7484.23
"2021-07-09 00:00:00",5668.82
"2021-07-10 00:00:00",5642.67
"2021-07-11 00:00:00",7489.95
"2021-07-12 00:00:00",6862.77
"2021-07-13 00:00:00",14601.01
"2021-07-14 00:00:00",21440.19
"2021-07-15 00:00:00",21060.42
"2021-07-16 00:00:00",44254.03
"2021-07-17 00:00:00",71829.33
"2021-07-18 00:00:00",39335.76
"2021-07-19 00:00:00",31518.4
"2021-07-20 00:00:00",42954.61
"2021-07-21 00:00:00",32465.22
"2021-07-22 00:00:00",24598.42
"2021-07-23 00:00:00",16981.87
"2021-07-24 00:00:00",32078.49
"2021-07-25 00:00:00",73495.53
"2021-07-26 00:00:00",55927.52
"2021-07-27 00:00:00",29872.25
"2021-07-28 00:00:00",37676.09
"2021-07-29 00:00:00",31243.56
"2021-07-30 00:00:00",31710.51
"2021-07-31 00:00:00",22299.09
"2021-08-01 00:00:00",3793.78
"2021-08-02 00:00:00",27973.58
"2021-08-03 00:00:00",140557.33
"2021-08-04 00:00:00",100700.42
"2021-08-05 00:00:00",67521.72
"2021-08-06 00:00:00",325781.19
"2021-08-07 00:00:00",177548.93
"2021-08-08 00:00:00",139624.62
"2021-08-09 00:00:00",110360.69
"2021-08-10 00:00:00",185254.82
"2021-08-11 00:00:00",93957.66
"2021-08-12 00:00:00",217916.49
"2021-08-13 00:00:00",318813.56
"2021-08-14 00:00:00",257244.69
"2021-08-15 00:00:00",57811.37
"2021-08-16 00:00:00",67562.24
"2021-08-17 00:00:00",80446.39
"2021-08-18 00:00:00",56722.34
"2021-08-19 00:00:00",107140.21
"2021-08-20 00:00:00",205637.27
"2021-08-21 00:00:00",159124.1
"2021-08-22 00:00:00",135768.76
"2021-08-23 00:00:00",152495.57
"2021-08-24 00:00:00",299892.76
"2021-08-25 00:00:00",560189.82
"2021-08-26 00:00:00",668984.9
"2021-08-27 00:00:00",1070553.12
"2021-08-28 00:00:00",364748.17
"2021-08-29 00:00:00",565017.47
"2021-08-30 00:00:00",403699.63
"2021-08-31 00:00:00",318342.89
"2021-09-01 00:00:00",271414.61
"2021-09-02 00:00:00",448822.25
"2021-09-03 00:00:00",86709.77
"2021-09-04 00:00:00",96930.96
"2021-09-05 00:00:00",77522.22
"2021-09-06 00:00:00",44911.65
"2021-09-07 00:00:00",85039.72
"2021-09-08 00:00:00",17661.97
"2021-09-09 00:00:00",55788.41
"2021-09-10 00:00:00",44085.09
"2021-09-11 00:00:00",20085.91
"2021-09-12 00:00:00",19801.1
"2021-09-13 00:00:00",40327.89
"2021-09-14 00:00:00",68190.29
"2021-09-15 00:00:00",107553.48
"2021-09-16 00:00:00",164010.95
"2021-09-17 00:00:00",71160.05
"2021-09-18 00:00:00",37185.07
"2021-09-19 00:00:00",75936.57
"2021-09-20 00:00:00",32610.91
"2021-09-21 00:00:00",128244.79
"2021-09-22 00:00:00",48415.57
"2021-09-23 00:00:00",283207.65
"2021-09-24 00:00:00",47162.18
"2021-09-25 00:00:00",21417.73
"2021-09-26 00:00:00",72477.78
"2021-09-27 00:00:00",63041.03
"2021-09-28 00:00:00",55215.27
"2021-09-29 00:00:00",62427.06
"2021-09-30 00:00:00",49980.9
"2021-10-01 00:00:00",16668.05
"2021-10-02 00:00:00",117091.63
"2021-10-03 00:00:00",41886.53
"2021-10-04 00:00:00",18718.86
"2021-10-05 00:00:00",15778.3
"2021-10-06 00:00:00",38591.25
"2021-10-07 00:00:00",58255.01
"2021-10-08 00:00:00",14967.98
"2021-10-09 00:00:00",63054.21
"2021-10-10 00:00:00",40374.17
"2021-10-11 00:00:00",167011.41
"2021-10-12 00:00:00",75248.39
"2021-10-13 00:00:00",51143.8
"2021-10-14 00:00:00",85436.63
"2021-10-15 00:00:00",51631.69
"2021-10-16 00:00:00",73829.05
"2021-10-17 00:00:00",39268.27
"2021-10-18 00:00:00",16542.11
"2021-10-19 00:00:00",75796.66
"2021-10-20 00:00:00",71469.96
"2021-10-21 00:00:00",66731.09
"2021-10-22 00:00:00",252907.12
"2021-10-23 00:00:00",107496.73
"2021-10-24 00:00:00",215280.52
"2021-10-25 00:00:00",67630.13
"2021-10-26 00:00:00",81828.63
"2021-10-27 00:00:00",39335.08
"2021-10-28 00:00:00",64002.01
"2021-10-29 00:00:00",78701.43
"2021-10-30 00:00:00",53897.13
"2021-10-31 00:00:00",66401.03
"2021-11-01 00:00:00",30062.63
"2021-11-02 00:00:00",24606.75
"2021-11-03 00:00:00",104245.15
"2021-11-04 00:00:00",71964.5
"2021-11-05 00:00:00",60438.54
"2021-11-06 00:00:00",28385.52
"2021-11-07 00:00:00",44248.89
"2021-11-08 00:00:00",16284.81
"2021-11-09 00:00:00",20806.38
"2021-11-10 00:00:00",47340.2
"2021-11-11 00:00:00",64234.87
"2021-11-12 00:00:00",31922.48
"2021-11-13 00:00:00",120825.24
"2021-11-14 00:00:00",176639.96
"2021-11-15 00:00:00",18781.89
"2021-11-16 00:00:00",5810.5
"2021-11-17 00:00:00",15805.4
"2021-11-18 00:00:00",108306.32
"2021-11-19 00:00:00",33567.44
"2021-11-20 00:00:00",19671.03
"2021-11-21 00:00:00",9979.13
"2021-11-22 00:00:00",35962.38
"2021-11-23 00:00:00",82772.47
"2021-11-24 00:00:00",93529.38
"2021-11-25 00:00:00",70433.04
"2021-11-26 00:00:00",468790.25
"2021-11-27 00:00:00",96964.58
"2021-11-28 00:00:00",16286.85
"2021-11-29 00:00:00",51405.51
"2021-11-30 00:00:00",63812.31
"2021-12-01 00:00:00",84077.95
"2021-12-02 00:00:00",24037.47
"2021-12-03 00:00:00",149115.28
"2021-12-04 00:00:00",144463.95
"2021-12-05 00:00:00",161725.43
"2021-12-06 00:00:00",1036520.12
"2021-12-07 00:00:00",447917.2
"2021-12-08 00:00:00",258819.56
"2021-12-09 00:00:00",61479.3
"2021-12-10 00:00:00",315865.07
"2021-12-11 00:00:00",121377.43
"2021-12-12 00:00:00",161729.9
"2021-12-13 00:00:00",126530.7
"2021-12-14 00:00:00",314918.25
"2021-12-15 00:00:00",271290.93
"2021-12-16 00:00:00",107212.17
"2021-12-17 00:00:00",42980.12
"2021-12-18 00:00:00",61863.93
"2021-12-19 00:00:00",29003.72
"2021-12-20 00:00:00",151828.16
"2021-12-21 00:00:00",66655.22
"2021-12-22 00:00:00",66650.75
"2021-12-23 00:00:00",102827.37
"2021-12-24 00:00:00",34781.33
"2021-12-25 00:00:00",29603.73
"2021-12-26 00:00:00",10178.68
"2021-12-27 00:00:00",28619.13
"2021-12-28 00:00:00",27658.88
"2021-12-29 00:00:00",17786.94
"2021-12-30 00:00:00",73652.42
"2021-12-31 00:00:00",50804.39
"2022-01-01 00:00:00",23407.67
"2022-01-02 00:00:00",29218.1
"2022-01-03 00:00:00",93646.82
"2022-01-04 00:00:00",46154.44
"2022-01-05 00:00:00",91539.18
"2022-01-06 00:00:00",29454.6
"2022-01-07 00:00:00",145725.67
"2022-01-08 00:00:00",29609.18
"2022-01-09 00:00:00",33108.79
"2022-01-10 00:00:00",46661.32
"2022-01-11 00:00:00",112981.35
"2022-01-12 00:00:00",50314.72
"2022-01-13 00:00:00",49025.51
"2022-01-14 00:00:00",1554.35
"2022-01-15 00:00:00",23448.74
"2022-01-16 00:00:00",2679.1
"2022-01-17 00:00:00",23201.3
"2022-01-18 00:00:00",21395.93
"2022-01-19 00:00:00",67251.78
"2022-01-20 00:00:00",4685.91
"2022-01-21 00:00:00",12344.17
"2022-01-22 00:00:00",17179.33
"2022-01-23 00:00:00",5758.04
"2022-01-24 00:00:00",9078.75
"2022-01-25 00:00:00",9802.16
"2022-01-26 00:00:00",9285.96
"2022-01-27 00:00:00",13988.15
"2022-01-28 00:00:00",34128.27
"2022-01-29 00:00:00",57273.23
"2022-01-30 00:00:00",12109.02
"2022-01-31 00:00:00",13233.03
"2022-02-01 00:00:00",4633.05
"2022-02-02 00:00:00",7073.64
"2022-02-03 00:00:00",4002.05
"2022-02-04 00:00:00",5897.05
"2022-02-05 00:00:00",26147.99
"2022-02-06 00:00:00",42753.69
"2022-02-07 00:00:00",55735.65
"2022-02-08 00:00:00",24561.78
"2022-02-09 00:00:00",4436.28
"2022-02-10 00:00:00",14718.88
"2022-02-11 00:00:00",24461.25
"2022-02-12 00:00:00",3804.7
"2022-02-13 00:00:00",9015.53
"2022-02-14 00:00:00",32571.92
"2022-02-15 00:00:00",9575.15
"2022-02-16 00:00:00",22928.32
"2022-02-19 00:00:00",3975.29
"2022-02-20 00:00:00",3533.47
"2022-02-21 00:00:00",21106.33
"2022-02-22 00:00:00",16338.36
"2022-02-23 00:00:00",16847.4
"2022-02-24 00:00:00",10612.99
"2022-02-25 00:00:00",16069.45
"2022-02-26 00:00:00",3485.33
"2022-02-27 00:00:00",1876.96
"2022-02-28 00:00:00",24921.67
"2022-03-01 00:00:00",12709.05
"2022-03-02 00:00:00",2999.03
