"DateTime","Sales (USD)"
"2021-11-29 00:00:00",5792833.11
"2021-11-30 00:00:00",1198276.84
"2021-12-01 00:00:00",5148595.34
"2021-12-02 00:00:00",1687076.27
"2021-12-03 00:00:00",905739.41
"2021-12-04 00:00:00",456237.97
"2021-12-05 00:00:00",236589.82
"2021-12-06 00:00:00",418161.82
"2021-12-07 00:00:00",389967.27
"2021-12-08 00:00:00",387046.03
"2021-12-09 00:00:00",1634044.33
"2021-12-10 00:00:00",281987.54
"2021-12-11 00:00:00",270969.55
"2021-12-12 00:00:00",155737.81
"2021-12-13 00:00:00",155397.47
"2021-12-14 00:00:00",173598.6
"2021-12-15 00:00:00",549928.79
"2021-12-16 00:00:00",208426.66
"2021-12-17 00:00:00",250578.21
"2021-12-18 00:00:00",182635.89
"2021-12-19 00:00:00",114405.63
"2021-12-20 00:00:00",53614.56
"2021-12-21 00:00:00",42185.98
"2021-12-22 00:00:00",34953.49
"2021-12-23 00:00:00",31787.29
"2021-12-24 00:00:00",74390.41
"2021-12-25 00:00:00",146631.54
"2021-12-26 00:00:00",37579.88
"2021-12-27 00:00:00",118539.59
"2021-12-28 00:00:00",212346.63
"2021-12-29 00:00:00",95154.54
"2021-12-30 00:00:00",49503.88
"2021-12-31 00:00:00",87630.25
"2022-01-01 00:00:00",616669.12
"2022-01-02 00:00:00",4166164.49
"2022-01-03 00:00:00",1168596.01
"2022-01-04 00:00:00",826353.41
"2022-01-05 00:00:00",971612.4
"2022-01-06 00:00:00",2849950.16
"2022-01-07 00:00:00",1151230.06
"2022-01-08 00:00:00",690990.56
"2022-01-09 00:00:00",707871.35
"2022-01-10 00:00:00",702121.79
"2022-01-11 00:00:00",361237.62
"2022-01-12 00:00:00",319625.99
"2022-01-13 00:00:00",325305.66
"2022-01-14 00:00:00",499461.88
"2022-01-15 00:00:00",225687.63
"2022-01-16 00:00:00",216132.85
"2022-01-17 00:00:00",352905.47
"2022-01-18 00:00:00",289986.61
"2022-01-19 00:00:00",319171.14
"2022-01-20 00:00:00",275922.24
"2022-01-21 00:00:00",492507.88
"2022-01-22 00:00:00",158262.64
"2022-01-23 00:00:00",350212.76
"2022-01-24 00:00:00",272346.14
"2022-01-25 00:00:00",368700.09
"2022-01-26 00:00:00",168252.15
"2022-01-27 00:00:00",230027.52
"2022-01-28 00:00:00",256065.9
"2022-01-29 00:00:00",170447.32
"2022-01-30 00:00:00",375540.05
"2022-01-31 00:00:00",376917.63
"2022-02-01 00:00:00",1873665.19
"2022-02-02 00:00:00",1136653.82
"2022-02-03 00:00:00",270722.99
"2022-02-04 00:00:00",269202.4
"2022-02-05 00:00:00",261873.2
"2022-02-06 00:00:00",258789.94
"2022-02-07 00:00:00",249536.64
"2022-02-08 00:00:00",325444.28
"2022-02-09 00:00:00",307390.51
"2022-02-10 00:00:00",126099.97
"2022-02-11 00:00:00",255608.79
"2022-02-12 00:00:00",143339.1
"2022-02-13 00:00:00",223402.55
"2022-02-14 00:00:00",125721.15
"2022-02-15 00:00:00",153490.32
"2022-02-16 00:00:00",161109.45
"2022-02-17 00:00:00",220834.14
"2022-02-18 00:00:00",1024647.57
"2022-02-19 00:00:00",1179757.51
"2022-02-20 00:00:00",1716637.75
"2022-02-21 00:00:00",5154692.84
"2022-02-22 00:00:00",1614674.29
"2022-02-23 00:00:00",826794.21
"2022-02-24 00:00:00",1173032.55
"2022-02-25 00:00:00",728822.36
"2022-02-26 00:00:00",277155.18
"2022-02-27 00:00:00",585053.8
"2022-02-28 00:00:00",599768.77
"2022-03-01 00:00:00",668793.79
"2022-03-02 00:00:00",445005.45
