"DateTime","Sales (USD)"
"2019-02-21 00:00:00",71.8
"2019-02-25 00:00:00",59.31
"2019-03-05 00:00:00",52.93
"2019-03-06 00:00:00",52.13
"2019-03-23 00:00:00",136.48
"2019-03-24 00:00:00",162.5
"2019-03-28 00:00:00",2075.97
"2019-03-29 00:00:00",1536.87
"2019-03-31 00:00:00",565.11
"2019-04-01 00:00:00",2060.92
"2019-04-02 00:00:00",5429.22
"2019-04-03 00:00:00",1546.25
"2019-04-04 00:00:00",552.53
"2019-04-05 00:00:00",381.07
"2019-04-06 00:00:00",606.1
"2019-04-07 00:00:00",4274.34
"2019-04-08 00:00:00",5201.02
"2019-04-09 00:00:00",1759.58
"2019-04-12 00:00:00",536.72
"2019-04-13 00:00:00",96.84
"2019-04-15 00:00:00",860.59
"2019-04-17 00:00:00",1123.06
"2019-04-18 00:00:00",12279.17
"2019-04-19 00:00:00",4389.56
"2019-04-20 00:00:00",4019.51
"2019-04-21 00:00:00",3446.21
"2019-04-22 00:00:00",6459.59
"2019-04-23 00:00:00",6098.19
"2019-04-24 00:00:00",14847.93
"2019-04-25 00:00:00",68.42
"2019-04-26 00:00:00",8663.71
"2019-04-27 00:00:00",5130.18
"2019-04-28 00:00:00",972.16
"2019-04-29 00:00:00",1524.83
"2019-04-30 00:00:00",1524.84
"2019-05-02 00:00:00",2109.29
"2019-05-03 00:00:00",1708.51
"2019-05-04 00:00:00",2671.22
"2019-05-05 00:00:00",7475.82
"2019-05-06 00:00:00",2011.48
"2019-05-07 00:00:00",3238.63
"2019-05-08 00:00:00",1860.02
"2019-05-09 00:00:00",1439.15
"2019-05-10 00:00:00",666.15
"2019-05-11 00:00:00",6329.54
"2019-05-12 00:00:00",282.46
"2019-05-13 00:00:00",1727.18
"2019-05-14 00:00:00",730.91
"2019-05-15 00:00:00",26736.74
"2019-05-16 00:00:00",57.94
"2019-05-17 00:00:00",688.03
"2019-05-19 00:00:00",86.19
"2019-05-20 00:00:00",1304.35
"2019-05-21 00:00:00",2274.56
"2019-05-22 00:00:00",2005.31
"2019-05-23 00:00:00",12303.57
"2019-05-24 00:00:00",1741.87
"2019-05-25 00:00:00",920.25
"2019-05-26 00:00:00",1274.4
"2019-05-29 00:00:00",80.8
"2019-05-31 00:00:00",899.33
"2019-06-01 00:00:00",2253.69
"2019-06-02 00:00:00",674.92
"2019-06-03 00:00:00",1272.86
"2019-06-04 00:00:00",1378.67
"2019-06-05 00:00:00",5606.49
"2019-06-06 00:00:00",919.42
"2019-06-07 00:00:00",625.56
"2019-06-08 00:00:00",302.11
"2019-06-09 00:00:00",639.98
"2019-06-10 00:00:00",1492.47
"2019-06-11 00:00:00",194.18
"2019-06-12 00:00:00",95.21
"2019-06-13 00:00:00",51.07
"2019-06-14 00:00:00",250.65
"2019-06-15 00:00:00",92.56
"2019-06-16 00:00:00",256.36
"2019-06-17 00:00:00",338.83
"2019-06-18 00:00:00",1410.61
"2019-06-20 00:00:00",247.65
"2019-06-21 00:00:00",750.69
"2019-06-22 00:00:00",351.13
"2019-06-23 00:00:00",337.21
"2019-06-24 00:00:00",294.08
"2019-06-25 00:00:00",35.1
"2019-06-26 00:00:00",173.7
"2019-06-28 00:00:00",185.67
"2019-06-29 00:00:00",67.08
"2019-06-30 00:00:00",262.49
"2019-07-01 00:00:00",81.36
"2019-07-02 00:00:00",81.36
"2019-07-03 00:00:00",703.79
"2019-07-04 00:00:00",28.35
"2019-07-05 00:00:00",32.17
"2019-07-06 00:00:00",761.28
"2019-07-07 00:00:00",31.3
"2019-07-09 00:00:00",27.75
"2019-07-10 00:00:00",347.8
"2019-07-11 00:00:00",27.59
"2019-07-12 00:00:00",151.73
"2019-07-20 00:00:00",21.91
"2019-07-24 00:00:00",26.02
"2019-07-25 00:00:00",19.55
"2019-08-04 00:00:00",155.95
"2019-08-07 00:00:00",330.83
"2019-08-16 00:00:00",222.69
"2019-08-19 00:00:00",3.93
"2019-08-21 00:00:00",191.6
"2019-08-22 00:00:00",28.74
"2019-08-25 00:00:00",93.16
"2019-08-26 00:00:00",20.74
"2019-08-31 00:00:00",25.83
"2019-09-05 00:00:00",1326.52
"2019-09-07 00:00:00",36.32
"2019-09-12 00:00:00",57.69
"2019-09-14 00:00:00",18.86
"2019-09-16 00:00:00",300.33
"2019-09-19 00:00:00",597.29
"2019-09-20 00:00:00",76.02
"2019-09-24 00:00:00",951.14
"2019-09-25 00:00:00",931.47
"2019-09-26 00:00:00",257.58
"2019-09-30 00:00:00",71.8
"2019-10-14 00:00:00",253.67
"2019-10-17 00:00:00",354.14
"2019-10-18 00:00:00",519.39
"2019-10-19 00:00:00",17.16
"2019-10-21 00:00:00",24.39
"2019-10-22 00:00:00",215.27
"2019-10-24 00:00:00",54.35
"2019-10-25 00:00:00",145.73
"2019-10-26 00:00:00",62.9
"2019-10-29 00:00:00",109.97
"2019-10-30 00:00:00",71.48
"2019-10-31 00:00:00",757.12
"2019-11-01 00:00:00",39.79
"2019-11-06 00:00:00",40.23
"2019-11-07 00:00:00",40.53
"2019-11-08 00:00:00",84.66
"2019-11-11 00:00:00",18.44
"2019-11-14 00:00:00",33.26
"2019-11-19 00:00:00",16.67
"2019-11-21 00:00:00",104.84
"2019-11-22 00:00:00",20.97
"2019-11-24 00:00:00",15.57
"2019-11-25 00:00:00",16.27
"2019-11-26 00:00:00",90.25
"2019-12-05 00:00:00",14.8
"2019-12-07 00:00:00",151
"2019-12-09 00:00:00",23.58
"2019-12-12 00:00:00",101.46
"2019-12-14 00:00:00",106.38
"2019-12-15 00:00:00",21.35
"2019-12-17 00:00:00",12.15
"2019-12-18 00:00:00",132.88
"2019-12-19 00:00:00",24.29
"2019-12-21 00:00:00",12.71
"2019-12-22 00:00:00",92.44
"2019-12-25 00:00:00",157.47
"2019-12-26 00:00:00",37.59
"2019-12-27 00:00:00",75.71
"2019-12-28 00:00:00",75.54
"2020-01-07 00:00:00",343.8
"2020-01-10 00:00:00",42.9
"2020-01-12 00:00:00",136.71
"2020-01-13 00:00:00",100.74
"2020-01-14 00:00:00",14.77
"2020-01-16 00:00:00",18.21
"2020-01-17 00:00:00",653.16
"2020-01-18 00:00:00",210.09
"2020-01-20 00:00:00",76.4
"2020-01-21 00:00:00",118.42
"2020-01-22 00:00:00",249.64
"2020-01-25 00:00:00",48.16
"2020-01-27 00:00:00",135.95
"2020-01-29 00:00:00",12.4
"2020-01-30 00:00:00",316.92
"2020-01-31 00:00:00",252.23
"2020-02-02 00:00:00",145.07
"2020-02-03 00:00:00",240.46
"2020-02-05 00:00:00",461.53
"2020-02-06 00:00:00",510.39
"2020-02-07 00:00:00",178.29
"2020-02-08 00:00:00",358.36
"2020-02-10 00:00:00",880.87
"2020-02-11 00:00:00",13.07
"2020-02-12 00:00:00",346.64
"2020-02-13 00:00:00",356.04
"2020-02-14 00:00:00",22.79
"2020-02-16 00:00:00",127.69
"2020-02-17 00:00:00",53.88
"2020-02-18 00:00:00",443.83
"2020-02-19 00:00:00",49.6
"2020-02-20 00:00:00",23.28
"2020-02-21 00:00:00",26.18
"2020-02-23 00:00:00",137.59
"2020-02-24 00:00:00",7.46
"2020-02-27 00:00:00",128.67
"2020-02-28 00:00:00",1365.53
"2020-02-29 00:00:00",2247.87
"2020-03-01 00:00:00",2102.21
"2020-03-02 00:00:00",5956.28
"2020-03-03 00:00:00",4543.68
"2020-03-04 00:00:00",1051.75
"2020-03-05 00:00:00",1751.85
"2020-03-06 00:00:00",5332.97
"2020-03-07 00:00:00",309.48
"2020-03-08 00:00:00",233.18
"2020-03-09 00:00:00",1955.74
"2020-03-10 00:00:00",3267.36
"2020-03-11 00:00:00",508.05
"2020-03-12 00:00:00",49.65
"2020-03-13 00:00:00",1828.42
"2020-03-15 00:00:00",11.03
"2020-03-16 00:00:00",99.31
"2020-03-17 00:00:00",260.27
"2020-03-18 00:00:00",794.41
"2020-03-19 00:00:00",3244.17
"2020-03-20 00:00:00",782.99
"2020-03-21 00:00:00",586.89
"2020-03-22 00:00:00",121.5
"2020-03-23 00:00:00",107.02
"2020-03-24 00:00:00",1303.53
"2020-03-25 00:00:00",788.38
"2020-03-26 00:00:00",728.13
"2020-03-27 00:00:00",1443.1
"2020-03-28 00:00:00",1796.06
"2020-03-29 00:00:00",752.77
"2020-03-30 00:00:00",4148.36
"2020-03-31 00:00:00",1140.93
"2020-04-01 00:00:00",2773.86
"2020-04-02 00:00:00",1080.9
"2020-04-03 00:00:00",1969.63
"2020-04-04 00:00:00",2428.46
"2020-04-05 00:00:00",342.16
"2020-04-06 00:00:00",390.1
"2020-04-07 00:00:00",391.65
"2020-04-08 00:00:00",213.15
"2020-04-09 00:00:00",200.52
"2020-04-10 00:00:00",245.7
"2020-04-11 00:00:00",129.91
"2020-04-12 00:00:00",215.77
"2020-04-13 00:00:00",273.53
"2020-04-14 00:00:00",291.01
"2020-04-15 00:00:00",733.18
"2020-04-16 00:00:00",392.64
"2020-04-17 00:00:00",1056.59
