DateTime,Sales (USD),NFTcollection
2021-09-16 00:00:00,1125042.78,Anonymice
2021-09-17 00:00:00,3934885.69,Anonymice
2021-09-18 00:00:00,1747688.82,Anonymice
2021-09-19 00:00:00,5421374.8,Anonymice
2021-09-20 00:00:00,2031786.74,Anonymice
2021-09-21 00:00:00,1137396.88,Anonymice
2021-09-22 00:00:00,794825.15,Anonymice
2021-09-23 00:00:00,910955.73,Anonymice
2021-09-24 00:00:00,551786.74,Anonymice
2021-09-25 00:00:00,548433.25,Anonymice
2021-09-26 00:00:00,1048185.07,Anonymice
2021-09-27 00:00:00,432436.27,Anonymice
2021-09-28 00:00:00,219991.06,Anonymice
2021-09-29 00:00:00,245420.52,Anonymice
2021-09-30 00:00:00,297572.63,Anonymice
2021-10-01 00:00:00,988660.07,Anonymice
2021-10-02 00:00:00,1193202.55,Anonymice
2021-10-03 00:00:00,567844.21,Anonymice
2021-10-04 00:00:00,2646819.05,Anonymice
2021-10-05 00:00:00,2402834.04,Anonymice
2021-10-06 00:00:00,803472.42,Anonymice
2021-10-07 00:00:00,1510135.81,Anonymice
2021-10-08 00:00:00,880049.45,Anonymice
2021-10-09 00:00:00,721442.48,Anonymice
2021-10-10 00:00:00,447632.24,Anonymice
2021-10-11 00:00:00,600986.74,Anonymice
2021-10-12 00:00:00,603155.68,Anonymice
2021-10-13 00:00:00,587158.03,Anonymice
2021-10-14 00:00:00,1345052.58,Anonymice
2021-10-15 00:00:00,914397.59,Anonymice
2021-10-16 00:00:00,1300734.9,Anonymice
2021-10-17 00:00:00,266036.74,Anonymice
2021-10-18 00:00:00,469121.95,Anonymice
2021-10-19 00:00:00,282254.52,Anonymice
2021-10-20 00:00:00,559597.29,Anonymice
2021-10-21 00:00:00,165889.85,Anonymice
2021-10-22 00:00:00,215222.68,Anonymice
2021-10-23 00:00:00,315761.83,Anonymice
2021-10-24 00:00:00,90055.29,Anonymice
2021-10-25 00:00:00,344463.81,Anonymice
2021-10-26 00:00:00,152390.44,Anonymice
2021-10-27 00:00:00,221677.37,Anonymice
2021-10-28 00:00:00,178238.75,Anonymice
2021-10-29 00:00:00,219291.2,Anonymice
2021-10-30 00:00:00,241022.27,Anonymice
2021-10-31 00:00:00,124671.45,Anonymice
2021-11-01 00:00:00,115501.37,Anonymice
2021-11-02 00:00:00,188964.84,Anonymice
2021-11-03 00:00:00,192718.95,Anonymice
2021-11-04 00:00:00,67027.23,Anonymice
2021-11-05 00:00:00,116178.93,Anonymice
2021-11-06 00:00:00,195956.88,Anonymice
2021-11-07 00:00:00,119130.27,Anonymice
2021-11-08 00:00:00,82611.52,Anonymice
2021-11-09 00:00:00,71272.57,Anonymice
2021-11-10 00:00:00,49011.83,Anonymice
2021-11-11 00:00:00,91081.59,Anonymice
2021-11-12 00:00:00,1149.86,Anonymice
2021-11-13 00:00:00,22239.93,Anonymice
2021-11-14 00:00:00,474859.62,Anonymice
2021-11-15 00:00:00,122973.7,Anonymice
2021-11-16 00:00:00,129773.21,Anonymice
2021-11-17 00:00:00,279584.84,Anonymice
2021-11-18 00:00:00,86888.83,Anonymice
2021-11-19 00:00:00,647757.23,Anonymice
2021-11-20 00:00:00,253592.38,Anonymice
2021-11-21 00:00:00,144106.19,Anonymice
2021-11-22 00:00:00,543952.88,Anonymice
2021-11-23 00:00:00,139473.05,Anonymice
2021-11-24 00:00:00,154236.41,Anonymice
2021-11-25 00:00:00,225591.32,Anonymice
2021-11-26 00:00:00,71854.82,Anonymice
2021-11-27 00:00:00,756966.77,Anonymice
2021-11-28 00:00:00,63612.52,Anonymice
2021-11-29 00:00:00,210241.42,Anonymice
2021-11-30 00:00:00,79628.27,Anonymice
2021-12-01 00:00:00,80710.59,Anonymice
2021-12-02 00:00:00,69488.33,Anonymice
2021-12-03 00:00:00,56186.78,Anonymice
2021-12-04 00:00:00,13788.43,Anonymice
2021-12-05 00:00:00,64284.01,Anonymice
2021-12-06 00:00:00,54650.01,Anonymice
2021-12-07 00:00:00,47182.44,Anonymice
2021-12-08 00:00:00,44516.16,Anonymice
2021-12-09 00:00:00,29394.19,Anonymice
2021-12-10 00:00:00,57830.16,Anonymice
2021-12-11 00:00:00,82199.25,Anonymice
2021-12-12 00:00:00,77691.23,Anonymice
2021-12-13 00:00:00,120466.56,Anonymice
2021-12-14 00:00:00,10857.07,Anonymice
2021-12-15 00:00:00,39260.86,Anonymice
2021-12-16 00:00:00,42202.4,Anonymice
2021-12-17 00:00:00,40353.74,Anonymice
2021-12-18 00:00:00,41271.18,Anonymice
2021-12-19 00:00:00,32561.2,Anonymice
2021-12-20 00:00:00,86871.09,Anonymice
2021-12-21 00:00:00,49315.65,Anonymice
2021-12-22 00:00:00,20216.07,Anonymice
2021-12-23 00:00:00,39106.14,Anonymice
2021-12-24 00:00:00,73016.79,Anonymice
2021-12-25 00:00:00,152927.99,Anonymice
2021-12-26 00:00:00,170131.03,Anonymice
2021-12-27 00:00:00,83368.48,Anonymice
2021-12-28 00:00:00,64286.15,Anonymice
2021-12-29 00:00:00,46466.1,Anonymice
2021-12-30 00:00:00,79478.66,Anonymice
2021-12-31 00:00:00,50527.29,Anonymice
2022-01-01 00:00:00,73842.77,Anonymice
2022-01-02 00:00:00,370050.85,Anonymice
2022-01-03 00:00:00,58474.17,Anonymice
2022-01-04 00:00:00,655079.89,Anonymice
2022-01-05 00:00:00,210635.65,Anonymice
2022-01-06 00:00:00,91929.67,Anonymice
2022-01-07 00:00:00,37095.52,Anonymice
2022-01-08 00:00:00,103826.52,Anonymice
2022-01-09 00:00:00,183025.54,Anonymice
2022-01-10 00:00:00,25412.04,Anonymice
2022-01-11 00:00:00,54203.16,Anonymice
2022-01-12 00:00:00,41055.74,Anonymice
2022-01-13 00:00:00,39475.08,Anonymice
2022-01-14 00:00:00,72402.33,Anonymice
2022-01-15 00:00:00,80094.84,Anonymice
2022-01-16 00:00:00,81284.29,Anonymice
2022-01-17 00:00:00,110719.12,Anonymice
2022-01-18 00:00:00,63973.44,Anonymice
2022-01-19 00:00:00,72871.4,Anonymice
2022-01-20 00:00:00,73511.21,Anonymice
2022-01-21 00:00:00,24459.24,Anonymice
2022-01-22 00:00:00,39733.32,Anonymice
2022-01-23 00:00:00,24663.11,Anonymice
2022-01-24 00:00:00,16942.98,Anonymice
2022-01-25 00:00:00,20474.66,Anonymice
2022-01-26 00:00:00,33789.03,Anonymice
2022-01-27 00:00:00,34289.15,Anonymice
2022-01-28 00:00:00,286354.54,Anonymice
2022-01-29 00:00:00,78969.02,Anonymice
2022-01-30 00:00:00,44180.47,Anonymice
2022-01-31 00:00:00,62976.09,Anonymice
2022-02-01 00:00:00,97111.82,Anonymice
2022-02-02 00:00:00,526730.28,Anonymice
2022-02-03 00:00:00,51034.57,Anonymice
2022-02-04 00:00:00,52624.76,Anonymice
2022-02-05 00:00:00,36208.66,Anonymice
2022-02-06 00:00:00,79005.09,Anonymice
2022-02-07 00:00:00,32545.24,Anonymice
2022-02-08 00:00:00,37703.89,Anonymice
2022-02-09 00:00:00,55140.6,Anonymice
2022-02-10 00:00:00,14206.54,Anonymice
2022-02-11 00:00:00,92579.46,Anonymice
2022-02-12 00:00:00,19871.08,Anonymice
2022-02-13 00:00:00,21147.78,Anonymice
2022-02-14 00:00:00,19194.02,Anonymice
2022-02-15 00:00:00,12009.91,Anonymice
2022-02-16 00:00:00,21061.55,Anonymice
2022-02-17 00:00:00,25046.35,Anonymice
2022-02-18 00:00:00,28971.96,Anonymice
2022-02-19 00:00:00,6601.31,Anonymice
2022-02-20 00:00:00,14505.59,Anonymice
2022-02-21 00:00:00,52350.37,Anonymice
2022-02-22 00:00:00,17156.39,Anonymice
2022-02-23 00:00:00,30113.63,Anonymice
2022-02-24 00:00:00,25666.92,Anonymice
2022-02-25 00:00:00,27231.61,Anonymice
2022-02-26 00:00:00,12203.72,Anonymice
2022-02-27 00:00:00,10794.51,Anonymice
2022-02-28 00:00:00,65517.72,Anonymice
2022-03-01 00:00:00,11745.82,Anonymice
2021-12-16 00:00:00,606909.7,Byoland
2021-12-17 00:00:00,784750.59,Byoland
2021-12-18 00:00:00,101655.59,Byoland
2021-12-19 00:00:00,70878.49,Byoland
2021-12-20 00:00:00,134946.56,Byoland
2021-12-21 00:00:00,57058.78,Byoland
2021-12-22 00:00:00,28378.25,Byoland
2021-12-23 00:00:00,72464.6,Byoland
2021-12-24 00:00:00,327073.65,Byoland
2021-12-25 00:00:00,175932.27,Byoland
2021-12-26 00:00:00,122021.36,Byoland
2021-12-27 00:00:00,210251.17,Byoland
2021-12-28 00:00:00,430151.11,Byoland
2021-12-29 00:00:00,633139.95,Byoland
2021-12-30 00:00:00,167121.17,Byoland
2021-12-31 00:00:00,137686.13,Byoland
2022-01-01 00:00:00,167390.1,Byoland
2022-01-02 00:00:00,238906.53,Byoland
2022-01-03 00:00:00,266857.06,Byoland
2022-01-04 00:00:00,253733.23,Byoland
2022-01-05 00:00:00,408621.54,Byoland
2022-01-06 00:00:00,295775.45,Byoland
2022-01-07 00:00:00,674438.32,Byoland
2022-01-08 00:00:00,202303.86,Byoland
2022-01-09 00:00:00,162423.09,Byoland
2022-01-10 00:00:00,104605.8,Byoland
2022-01-11 00:00:00,131204.49,Byoland
2022-01-12 00:00:00,64558.29,Byoland
2022-01-13 00:00:00,231737.51,Byoland
2022-01-14 00:00:00,90271.3,Byoland
2022-01-15 00:00:00,70392.81,Byoland
2022-01-16 00:00:00,63884.68,Byoland
2022-01-17 00:00:00,55625.64,Byoland
2022-01-18 00:00:00,29640.22,Byoland
2022-01-19 00:00:00,76003.92,Byoland
2022-01-20 00:00:00,66938.92,Byoland
2022-01-21 00:00:00,43284.08,Byoland
2022-01-22 00:00:00,32893.52,Byoland
2022-01-23 00:00:00,50715.89,Byoland
2022-01-24 00:00:00,37707.19,Byoland
2022-01-25 00:00:00,58194.85,Byoland
2022-01-26 00:00:00,167617.84,Byoland
2022-01-27 00:00:00,54353.33,Byoland
2022-01-28 00:00:00,63879.3,Byoland
2022-01-29 00:00:00,68099.58,Byoland
2022-01-30 00:00:00,40527.41,Byoland
2022-01-31 00:00:00,138476.13,Byoland
2022-02-01 00:00:00,42799.35,Byoland
2022-02-02 00:00:00,69102.44,Byoland
2022-02-03 00:00:00,36197.28,Byoland
2022-02-04 00:00:00,29757.97,Byoland
2022-02-05 00:00:00,18114.31,Byoland
2022-02-06 00:00:00,36077.46,Byoland
2022-02-07 00:00:00,25403.45,Byoland
2022-02-08 00:00:00,56602.44,Byoland
2022-02-09 00:00:00,39534.72,Byoland
2022-02-10 00:00:00,144301.03,Byoland
2022-02-11 00:00:00,58566.39,Byoland
2022-02-12 00:00:00,31042.06,Byoland
2022-02-13 00:00:00,33739.24,Byoland
2022-02-14 00:00:00,32014.1,Byoland
2022-02-15 00:00:00,76185.49,Byoland
2022-02-16 00:00:00,94991.39,Byoland
2022-02-17 00:00:00,75187.32,Byoland
2022-02-18 00:00:00,60532.61,Byoland
2022-02-19 00:00:00,50339.18,Byoland
2022-02-20 00:00:00,35311.99,Byoland
2022-02-21 00:00:00,1090792.58,Byoland
2022-02-22 00:00:00,426000.51,Byoland
2022-02-23 00:00:00,493247.68,Byoland
2022-02-24 00:00:00,161749.68,Byoland
2022-02-25 00:00:00,501025.85,Byoland
2022-02-26 00:00:00,807178.48,Byoland
2022-02-27 00:00:00,205223.17,Byoland
2022-02-28 00:00:00,220209.44,Byoland
2022-03-01 00:00:00,269438.08,Byoland
2022-03-02 00:00:00,115631.22,Byoland
2021-09-09 00:00:00,3355495.92,888 Inner Circle
2021-09-10 00:00:00,1927776.43,888 Inner Circle
2021-09-11 00:00:00,7705910.95,888 Inner Circle
2021-09-12 00:00:00,3179033.05,888 Inner Circle
2021-09-13 00:00:00,2017073.9,888 Inner Circle
2021-09-14 00:00:00,2250544.24,888 Inner Circle
2021-09-15 00:00:00,3145510.01,888 Inner Circle
2021-09-16 00:00:00,3046062.45,888 Inner Circle
2021-09-17 00:00:00,1255137.88,888 Inner Circle
2021-09-18 00:00:00,728888.6,888 Inner Circle
2021-09-19 00:00:00,595668.84,888 Inner Circle
2021-09-20 00:00:00,1036021.74,888 Inner Circle
2021-09-21 00:00:00,601753.16,888 Inner Circle
2021-09-22 00:00:00,302337.96,888 Inner Circle
2021-09-23 00:00:00,600584.1,888 Inner Circle
2021-09-24 00:00:00,614448.36,888 Inner Circle
2021-09-25 00:00:00,491344.28,888 Inner Circle
2021-09-26 00:00:00,324729.88,888 Inner Circle
2021-09-27 00:00:00,720190.81,888 Inner Circle
2021-09-28 00:00:00,401294.17,888 Inner Circle
2021-09-29 00:00:00,527328.17,888 Inner Circle
2021-09-30 00:00:00,868168.67,888 Inner Circle
2021-10-01 00:00:00,1520213.7,888 Inner Circle
2021-10-02 00:00:00,281675.26,888 Inner Circle
2021-10-03 00:00:00,406113.64,888 Inner Circle
2021-10-04 00:00:00,361244.07,888 Inner Circle
2021-10-05 00:00:00,523526.21,888 Inner Circle
2021-10-06 00:00:00,319452.22,888 Inner Circle
2021-10-07 00:00:00,493181.53,888 Inner Circle
2021-10-08 00:00:00,699851.05,888 Inner Circle
2021-10-09 00:00:00,415479.29,888 Inner Circle
2021-10-10 00:00:00,430724.79,888 Inner Circle
