query,value,init_query
opensea,453350,NFT
opensea nft,453350,NFT
nft marketplace,344400,NFT
binance nft,170250,NFT
binance,170250,NFT
ethereum,141250,NFT
solana nft,111800,NFT
solana,111800,NFT
metamask,105500,NFT
nft blockchain,93350,NFT
blockchain,93350,NFT
bored ape nft,90750,NFT
bored ape,90750,NFT
metaverse nft,83150,NFT
metaverse,83000,NFT
open sea,75900,NFT
open sea nft,75900,NFT
coinbase,70800,NFT
coinbase nft,70700,NFT
crypto,70250,NFT
nft crypto,69050,NFT
beeple nft,59550,NFT
beeple,59550,NFT
rarible,58250,NFT
rarible nft,58250,NFT
oculus quest,406350,Shadow Quest
shadow oculus quest,406350,Shadow Quest
oculus,405300,Shadow Quest
sign of shadow shrine quest,380950,Shadow Quest
sign of the shadow shrine quest,353200,Shadow Quest
sign of the shadow shrine,347900,Shadow Quest
oculus quest 2,165000,Shadow Quest
sign of the shadow quest breath of the wild,140750,Shadow Quest
sign of the shadow botw quest,133550,Shadow Quest
botw sign of the shadow,133550,Shadow Quest
sign of the shadow zelda,103800,Shadow Quest
sign of the shadow quest zelda,103050,Shadow Quest
raid shadow legends,100050,Shadow Quest
botw sign of the shadow shrine quest,98600,Shadow Quest
xero the shadow,82100,Shadow Quest
shadow blade treasure quest,75700,Shadow Quest
shadow pc vr,73200,Shadow Quest
shadow of war bright lord quest,72400,Shadow Quest
horizon zero dawn,68300,Shadow Quest
oculus quest games,65150,Shadow Quest
virtual desktop,62750,Shadow Quest
the looming shadow,61950,Shadow Quest
war of light and shadow,61250,Shadow Quest
shadow of war bruz quest,59450,Shadow Quest
shadow of war the bright lord quest,59400,Shadow Quest
drippies nft,3333250,Drippies
